X,Y,site_id,site_typ,botanic,diameter,conditn,planted,add_num,add_str,modified,GlobalID
1452232.56740408,715323.773860492,14,T,Thuja occidentalis,2,30,0,28,central av,2011/07/26 00:00:00+00,{E34FD80E-92D9-4835-9E73-979F3C8D78AE}
1452232.21996383,715306.065562569,15,T,Magnolia spp,5,80,0,28,central av,2011/07/26 00:00:00+00,{AAAA3215-6847-46E9-9B71-1555A1834C9E}
1452262.46695058,715288.690925404,16,T,Acer rubrum,27,70,0,28,central av,2011/07/26 00:00:00+00,{64C3020F-082E-4AB8-9ED7-E77AEC5A9E2D}
1452285.64406958,715289.73258999,17,T,Acer x freemanii,12,80,0,28,central av,2013/11/13 00:00:00+00,{6A0B93AB-68C7-4829-920B-8D2B2602882D}
1452300.22737375,715289.99276007,18,T,Thuja occidentalis,2,30,0,28,central av,2013/11/13 00:00:00+00,{AA46C935-DD0B-4032-9149-CAADB7C8A9D2}
1452317.41500341,715289.73258999,19,T,Fraxinus pennsylvanica,11,70,0,28,central av,2013/11/13 00:00:00+00,{0CB37808-4FB6-4A9A-8D47-6B40BE0F7C70}
1452123.40456466,715288.951095492,20,T,Acer saccharinum 'Skinneri',37,70,0,56 a,wright av,2020/05/19 00:00:00+00,{5C6F87C6-11D8-4F53-B5D9-07BB13641BDC}
1452167.8801975,715288.854310907,21,R,Unknown,0,0,0,56b,wright av,2011/07/28 00:00:00+00,{83DFC722-7062-4011-A6B1-36059F45441A}
1452132.37141025,715257.203127488,27,T,Catalpa speciosa,2,80,2022,31,central av,2022/06/08 00:00:00+00,{696650BE-2B12-4376-8658-3D9014B01F5A}
1452164.02948341,715256.398995236,28,T,Ulmus 'Morton Glossy',9,80,2017,31,central av,2022/03/09 00:00:00+00,{3D596510-D32B-47EA-9A58-7084FE3E3758}
1452199.67672183,715234.986964568,29,T,Syringa reticulata 'Ivory Silk',2,80,2022,31,central av,2022/06/08 00:00:00+00,{7C063584-DB12-494F-AB69-B5934EEDF291}
1452200.39456816,715206.402376071,30,T,Crataegus viridis 'Winter King',2,80,2022,33,central av,2023/09/14 00:00:00+00,{492EA4DA-8811-4CC3-BC81-D7A15CFEFF1A}
1452197.67639774,715158.289939485,31,S,Acer rubrum,41,0,0,41,central av,2021/05/26 00:00:00+00,{36E1BAA5-2F65-49A7-8EA0-20720148E18E}
1452199.75939883,715130.019654818,32,T,syringa reticulata,5,70,0,43,central av,2020/01/22 00:00:00+00,{B1682EC2-5E58-4008-AE3B-9CBA56ED60C5}
1452201.0061155,715070.964654818,33,T,Cornus mas,2,80,2024,47,central av,2011/07/27 00:00:00+00,{94C821E7-3A15-4453-B9FB-02DCF7410CE7}
1452200.46773075,715091.790072486,34,S,Crataegus viridis 'Winter King',2,80,2022,47,central av,2022/06/08 00:00:00+00,{A6EF58BF-C55D-42EC-A814-0B47E4B1AD8C}
1452198.9785605,715003.342086658,35,T,Ulmus spp,20,70,0,55,central av,2022/03/09 00:00:00+00,{4CF5EB1A-739A-4349-899E-2671882CD987}
1452197.67639774,714944.748371825,36,T,Ulmus americana 'Deleware',22,80,0,59,central av,2022/03/09 00:00:00+00,{B13CCC64-7F11-4E98-A996-7AB058EFDBA1}
1452197.67639774,714890.060817152,37,T,Maackia amurensis,24,80,0,67,central av,2022/03/09 00:00:00+00,{BAEC868F-9BC0-485F-AF41-82A94612E523}
1452174.78438316,714843.859137908,38,R,Unknown,0,0,0,67,central av,2014/07/31 00:00:00+00,{AD144399-CFFC-4465-B5E6-990735869F13}
1452156.75718825,714843.134073742,39,R,,0,0,0,67,central av,2019/08/23 00:00:00+00,{56C858B1-B326-40E7-8487-15DDE6219AB2}
1452129.15291275,714843.394571908,40,T,Acer rubrum,33,70,0,67,central av,2019/05/15 00:00:00+00,{B2F9DD17-A597-4D9E-A579-F2B9656790BE}
1452196.15737191,714778.949490823,41,T,Syringa reticulata 'Ivory Silk',2,80,2024,35,harrison av,2020/01/07 00:00:00+00,{F71ABC10-DB5E-4AC3-B5D9-23E612AE1BE8}
1452201.56779416,714684.612409152,42,T,Acer saccharinum,42,70,0,83,central av,2015/11/12 00:00:00+00,{307351DD-2476-475D-B8BC-83E3824412E1}
1452205.30039825,714637.95338174,43,S,Fraxinus pennsylvanica,22,70,0,87,central av,2011/07/27 00:00:00+00,{E3122AEF-8DD9-4CBE-B3C9-C1E2576448BE}
1452234.35184933,714576.69267749,44,S,Fraxinus spp,19,70,0,88,central av,2011/07/27 00:00:00+00,{B4C37986-9EA6-4105-BC19-1223808C6F74}
1452234.35184933,714633.116449155,45,T,Acer rubrum,18,70,0,88,central av,2011/07/27 00:00:00+00,{460756B4-674D-4EF9-9DED-7F2BEF2C4178}
1452236.95584675,714597.525969155,46,T,Unknown,3,70,0,88,central av,2011/07/27 00:00:00+00,{CD58756C-A2DD-49A7-82EE-42974D897EF7}
1452234.50768891,714690.903735153,47,R,,0,0,0,82,central av,2020/01/07 00:00:00+00,{90479E35-7EA9-4166-B90B-D10D5B8C753E}
1452235.14909183,714717.576253988,48,T,Acer rubrum,21,70,0,80,central av,2015/11/12 00:00:00+00,{1BB498E0-D70E-4165-AD40-79F3C1249705}
1452269.26221258,714808.940900654,50,S,Acer platanoides,10,0,0,43,harrison av,2022/03/31 00:00:00+00,{C9221B50-A891-4059-9F5B-82A219C66D29}
1452298.77593308,714807.638737902,51,T,Acer rubrum,8,70,0,47,harrison av,2011/07/27 00:00:00+00,{4EAC6C48-8F4A-4C03-9238-3DAD85E94450}
1452357.40868983,714806.859211907,52,T,Acer saccharinum,41,70,0,53,harrison av,2019/10/25 00:00:00+00,{BEB2FB10-D8BA-449A-AEDE-D5AE1460E6C6}
1452444.86258316,714805.413348652,53,T,Catalpa speciosa,2,80,2022,61,harrison av,2022/06/08 00:00:00+00,{5C1012B7-ACA8-4594-AE13-364DCCFDC8C3}
1452499.25223816,714808.725349903,54,T,Ulmus 'Patriot',8,80,2017,67,harrison av,2022/03/09 00:00:00+00,{5D096666-ACB0-47C4-8CB8-9026BEC948B3}
1452555.503438,714809.809009157,55,T,Ulmus 'Patriot',8,80,2017,73,harrison av,2022/03/09 00:00:00+00,{0087334E-D5B7-4F6D-A5BC-3A631E250737}
1452606.2848325,714810.459926486,56,T,Acer campestre,11,70,0,77,harrison av,2011/07/27 00:00:00+00,{88D461C3-418C-4449-AF64-7CF879BAD81B}
1452631.02428433,714810.243063405,57,T,Acer platanoides,12,70,0,79,harrison av,2011/07/27 00:00:00+00,{88996C5F-1427-4934-A0F9-302449C775AD}
1452678.55043599,714809.59181799,58,T,Acer platanoides,13,70,0,83,harrison av,2011/07/27 00:00:00+00,{BA3399EF-E6F9-475D-BADC-380AC4EB828C}
1452673.55897616,714842.361109406,59,T,Acer x freemanii,14,70,0,86,harrison av,2011/07/27 00:00:00+00,{06102A2D-3552-4BA3-A54A-B8746F342255}
1452610.62504691,714842.361109406,60,T,Prunus x subhirtella 'Pendula',2,70,0,80,harrison av,2011/07/27 00:00:00+00,{EDD46B28-919B-4626-AF5B-681FEE07A38D}
1452534.23609208,714869.053641319,62,T,Acer platanoides 'Crimson King',16,70,0,76,conger av,2011/07/27 00:00:00+00,{7C7C24CE-6A75-4D11-9D6B-2B2CC985A961}
1452533.1511205,714897.916772574,63,T,Ulmus americana 'Deleware',24,50,0,74,conger av,2011/07/28 00:00:00+00,{C10BA102-76A0-42EB-A47D-4B18DEEB2E37}
1452533.1511205,714932.638815992,64,T,Acer negundo,8,50,0,70,conger av,2011/07/27 00:00:00+00,{0DD32EE0-62D4-4B1D-8BBC-77847EB954B5}
1452532.93392933,714957.161404736,65,R,,0,0,0,68,conger av,2021/12/10 00:00:00+00,{96F81A76-90B6-495B-9B08-DC48C9383D77}
1452532.06582083,714989.062587656,66,T,Tilia cordata,25,70,0,64,conger av,2020/09/24 00:00:00+00,{7EE45AB9-C42C-4DEC-9521-598D36DF5226}
1452533.58517475,715018.142253906,68,T,Tilia cordata 'Corinthian',4,80,2018,62,conger av,2022/10/20 00:00:00+00,{0B79A884-0989-4E34-B5DA-5A51F714E40B}
1452533.53957116,715049.227821656,69,T,Acer platanoides,12,70,0,56,conger av,2020/09/30 00:00:00+00,{851C4DED-30C1-48C0-91EE-45704FBF75B7}
1452533.16916508,715098.446883321,70,T,Ulmus 'Morton Glossy',2,80,2022,52,conger av,2022/06/08 00:00:00+00,{F1988263-205B-4ED3-8D04-8856761C054E}
1452529.58715124,715155.479249574,71,T,Acer saccharinum,36,50,0,46,conger av,2020/09/24 00:00:00+00,{C4E40073-EBE1-4F2A-8F26-717E118CB336}
1452529.58715124,715173.727572657,72,R,,0,0,0,46,conger av,2021/12/10 00:00:00+00,{087AC21E-04B2-401A-9884-33337066E436}
1452532.26857633,715224.855423152,73,T,Acer x freemanii,5,70,0,42,conger av,2011/07/27 00:00:00+00,{53F05787-47A2-4A6F-93A5-9278CDE1FAD7}
1452530.09830508,715302.980266906,74,T,Acer saccharinum,34,50,0,30,conger av,2023/08/24 00:00:00+00,{740F20A9-F8FF-4F81-B37F-E3F97E0C69D7}
1452527.92836191,715338.136692658,75,R,Unknown,0,0,0,28,conger av,2014/07/31 00:00:00+00,{4C998BC0-547B-44EE-9573-EE39F317962B}
1452527.06025341,715367.216358908,76,T,Tilia cordata,18,70,0,26,conger av,2023/08/24 00:00:00+00,{99359F69-F0B3-4B2E-B32F-FF2BC2FF7ECC}
1452528.23840066,715414.613245741,77,S,Tilia cordata,13,0,0,22,conger av,2023/08/24 00:00:00+00,{A5CC7282-06CC-4EF8-9429-2D484B0CC4EA}
1452527.49430766,715392.823919237,78,T,Tilia cordata,22,70,0,24,conger av,2023/08/24 00:00:00+00,{C51CAEE6-09C1-4829-A852-BCE15E30EB23}
1452531.02382816,715380.916134655,79,T,Tilia cordata,16,70,0,24,conger av,2023/08/24 00:00:00+00,{3EB37A7A-DA9D-44B5-9426-21CA8458BE6E}
1452527.91031733,715430.792347237,80,T,Tilia cordata,17,70,0,20,conger av,2023/08/24 00:00:00+00,{7331308C-CF64-4822-9CAC-9A5F5605D7CB}
1452527.30598783,715488.511391908,81,T,Acer saccharinum,37,80,0,14,conger av,2023/08/30 00:00:00+00,{9C2F49D8-9AC8-485C-AC42-4D4453F21C42}
1452530.53235933,715564.26484932,82,T,Acer platanoides 'Crimson King',22,80,0,8,conger av,2023/08/30 00:00:00+00,{06378810-F3A5-4D76-91CE-9B702B1C9201}
1452498.85328883,715573.164109737,83,T,Cornus mas,2,80,2022,69,lakeside av,2022/06/08 00:00:00+00,{16A7B337-8744-4993-8C65-74C1EA8A3BE5}
1452261.425286,715256.659493402,86,T,Amelanchier x grandiflora 'Autumn Brilliance',1,80,2019,32,central av,2020/03/05 00:00:00+00,{1DC4A19B-D888-45C8-A37A-BDA4A30C6D93}
1452284.37045008,715257.344531402,87,T,Syringa reticulate ssp.'Willamette',2,80,2018,32,central av,2018/06/28 00:00:00+00,{8AC58953-CAFD-4A61-B781-9EEEBBD1BB0B}
1452233.35742874,715217.492905073,88,T,Quercus coccinea,2,80,2022,34,central av,2022/06/08 00:00:00+00,{9941FA68-87A2-4FC2-B13C-531DCC7ECEF2}
1452232.49555383,715186.619279154,89,T,Acer saccharinum,46,80,0,40,central av,2021/07/21 00:00:00+00,{547E2A80-8640-46B6-8187-9FFBEA465624}
1452232.48505516,715071.686110072,92,S,Fraxinus pennsylvanica 'Marshall's Seedless',16,70,0,0,central av,2023/09/01 00:00:00+00,{B45D4D74-E54F-4048-8319-29C2FEA06B10}
1452234.22127216,715042.519501738,93,S,Fraxinus pennsylvanica 'Marshall's Seedless',25,80,0,0,central av,2023/09/01 00:00:00+00,{3C0AF010-5B31-4559-8034-13ABD4851C20}
1452256.96564925,714992.083907075,94,T,Acer rubrum,17,80,0,0,central av,2023/09/01 00:00:00+00,{D292607B-C83F-47CC-9D17-634796836049}
1452235.52343491,714943.561038241,95,T,Acer saccharinum,39,70,0,0,central av,2022/03/09 00:00:00+00,{BDAFEB37-8DBC-466B-95CB-61919F014D58}
1452266.07881999,714944.950143069,96,T,Acer rubrum,18,70,0,0,central av,2023/09/01 00:00:00+00,{C5A5E796-F061-465A-AC0A-7CB21AC299FF}
1452246.29769158,714919.937397823,97,S,Fraxinus pennsylvanica 'Marshall's Seedless',20,80,0,0,central av,2023/09/01 00:00:00+00,{6B50EDAB-FD8B-491E-8D23-C0110D040D75}
1452235.17599466,714894.949914992,98,T,Acer saccharinum,34,70,0,0,central av,2022/05/12 00:00:00+00,{E843EEBC-89A2-42A8-B3C2-202C508CF04B}
1452317.814937,714892.866585821,101,T,Acer rubrum,16,50,0,0,central av,2023/09/01 00:00:00+00,{513EB0EA-0AF6-40DF-80F1-A5251EBA5338}
1452314.82544166,714865.778385408,102,R,,0,0,0,0,central av,2019/10/25 00:00:00+00,{A4BFD9EB-4965-4C75-AD0F-A930C461E004}
1452342.18332658,714844.21379599,103,S,Fraxinus pennsylvanica 'Marshall's Seedless',26,70,0,0,central av,2022/05/12 00:00:00+00,{435B4DB1-25C6-490B-9FA2-E43F92EC35C1}
1452342.70399483,714874.248512819,104,T,Acer rubrum,13,70,0,0,central av,2023/09/01 00:00:00+00,{4896CD9E-2332-4027-9E68-2F75C320F2BF}
1452371.17637883,714862.61664632,105,T,Acer rubrum,20,50,0,0,central av,2023/09/01 00:00:00+00,{AE979DE8-EA18-49D4-8003-A1F8E8B79971}
1452398.08610191,714853.241665073,106,T,Acer rubrum,15,80,0,0,central av,2023/09/01 00:00:00+00,{844BEC2E-5149-4A23-B0E7-D35CE96E28C7}
1452421.34983491,714863.311198741,107,T,Syringa reticulata 'Ivory Silk',8,70,0,0,central av,2023/09/01 00:00:00+00,{592F9D30-9268-4610-A78F-86AB94061EF7}
1452449.1276665,714861.922093906,108,T,Syringa reticulata 'Ivory Silk',12,70,0,0,central av,2023/09/01 00:00:00+00,{480A1499-0150-431E-B2CE-29E4DD54E1C7}
1452464.88288433,714844.560908154,109,S,Fraxinus pennsylvanica 'Marshall's Seedless',22,70,0,0,central av,2023/09/01 00:00:00+00,{100224DE-F1DD-4217-B951-AC1B75B9A53D}
1452499.12756649,714869.040189907,110,S,Fraxinus pennsylvanica 'Marshall's Seedless',18,0,0,0,central av,2021/01/11 00:00:00+00,{18E6D0DC-1B28-4A38-AECB-BC9C2B3860B7}
1452482.070514,714881.279666737,111,T,Pyrus calleryana 'Chanticleer',14,70,0,0,central av,2023/09/01 00:00:00+00,{B55F5962-7352-4F1F-B88B-4273C3A9F0F6}
1452483.63284683,714908.49319499,112,T,Pyrus calleryana 'Chanticleer',14,70,0,0,central av,2023/09/01 00:00:00+00,{515907EA-4FD3-45DA-ADAC-650DD35EE2B2}
1452478.57872308,714934.533497237,113,T,Pyrus calleryana 'Chanticleer',17,70,0,0,central av,2023/09/01 00:00:00+00,{D3D03445-498D-403A-9009-AED6B208691C}
1452493.85657966,714970.64464549,114,T,Acer saccharinum,29,80,0,0,central av,2017/02/27 00:00:00+00,{6C43B46A-F6B9-49D9-8B48-C8DF8C27FF78}
1452457.47115375,715072.140177406,115,T,Gleditsia triacanthos f. inermis 'Skycole',2,80,2018,0,central av,2018/06/28 00:00:00+00,{8A8952D2-43F4-4B52-A9B6-3B85E3DD5451}
1452493.95598891,715108.602702908,116,T,Acer saccharinum,27,50,0,0,central av,2023/09/01 00:00:00+00,{FE4B928D-7220-4EB0-ACC7-21BB0CD04680}
1452492.91432433,715143.324746318,117,S,Fraxinus pennsylvanica 'Marshall's Seedless',23,70,0, ,central av,2023/09/01 00:00:00+00,{76213C4B-7214-4EFC-99D4-CA1D57508DDD}
1452396.38203708,715080.820606239,118,S,Fraxinus pennsylvanica 'Marshall's Seedless',21,80,0,0,central av,2023/09/01 00:00:00+00,{9EFF5ADA-35BC-4322-BF65-AA246E9E928C}
1452376.09106716,715081.363256074,119,T,Acer platanoides,18,70,0,0,central av,2023/09/01 00:00:00+00,{43BD6118-F131-4FE1-817F-983A7E20C1C4}
1452366.10847558,715094.275631823,120,T,Acer platanoides,17,70,0,0,central av,2023/09/01 00:00:00+00,{53EF1186-68C0-4280-A8B2-276DAADD1524}
1452344.94972524,715092.864873491,121,S,Acer platanoides,17,0,0,0,central av,2019/09/06 00:00:00+00,{C9CE48FE-312B-4BF4-98FB-DD6B8ECB4E2F}
1452301.49049458,715089.67131032,122,R,Unknown,0,0,0,0,central av,2022/05/12 00:00:00+00,{D21F6E8D-6666-459E-91B1-6A5C20EBF5BC}
1452282.88620108,715093.392103404,123,T,Acer platanoides,22,70,0,0,central av,2023/09/01 00:00:00+00,{7E1BE38B-F37B-4C1C-90DE-F68A0E15CA81}
1452264.28223566,715093.392103404,124,T,Acer platanoides,18,70,0,0,central av,2015/11/10 00:00:00+00,{D9848A24-3270-4871-992D-66BA3C4AAD43}
1452245.67794216,715091.531870902,125,T,Acer platanoides,23,70,0,0,central av,2023/09/01 00:00:00+00,{660621EE-67A0-43F8-BF1C-F6C9AE66DDF1}
1452232.65500233,715091.531870902,126,S,Acer platanoides,19,0,0,0,central av,2022/05/12 00:00:00+00,{800D63FA-960D-4DB1-95D2-98053AF21BBE}
1452051.1481475,715255.366845071,127,R,Unknown,0,0,0,35,wright av,2022/05/11 00:00:00+00,{903028DC-078A-481B-97AC-79A88CE5FB09}
1452014.35163316,715254.825835653,128,T,Acer saccharinum,27,50,0,35,wright av,2022/05/11 00:00:00+00,{AD5AFA20-D3F4-4873-BD41-6498E4901FA4}
1452020.34998075,715288.815597072,129,T,Acer saccharinum,28,50,0,40,wright av,2022/05/11 00:00:00+00,{A730CC72-7C46-4E8B-B799-8DC52D90519E}
1452060.87056899,715288.700111739,130,S,Acer rubrum,26,0,0,44,wright av,2023/10/30 00:00:00+00,{8E5E3C09-A95A-47B0-997B-E1E745439DEA}
1452342.12066266,715290.088888489,131,R,Magnolia spp,2,70,0,70,wright av,2013/11/13 00:00:00+00,{61C8957E-0C1D-4267-93DA-B3F08D00A520}
1452363.3010665,715290.088888489,132,T,Acer x freemanii,12,70,0,70,wright av,2013/11/13 00:00:00+00,{9DFD12CA-71AB-4CE4-B255-CA3131FB4496}
1452452.88454875,715291.825105488,133,T,Acer x freemanii 'Celebration',17,80,2007,33,conger av,2014/04/15 00:00:00+00,{01DDBB10-7C21-47A8-96D1-FFB737A14433}
1452499.41234283,715232.450224236,134,T,Malus 'Hargozam',6,70,2007,37,conger av,2020/01/22 00:00:00+00,{50590C7F-5848-4157-961B-3F8F6E65CA27}
1452462.95375433,715257.797286406,135,T,Prunus padus,4,50,2007,37,conger av,2023/07/24 00:00:00+00,{3BD95A46-7FF1-4DC3-B781-094BB455FABC}
1452436.91213975,715258.49183882,136,T,Prunus padus,8,80,2007,37,conger av,2023/07/24 00:00:00+00,{63F95954-B2C6-48E3-9CDC-2379285516FC}
1452414.34263108,715258.49183882,137,R,,0,0,0,37,conger av,2018/06/06 00:00:00+00,{688F2F50-E4D0-43A3-A406-2F047979DA57}
1452359.13440816,715259.186063156,138,T,syringa reticulata,3,80,0,69,wright av,2020/01/22 00:00:00+00,{44F50F03-59E7-4D11-87DC-20C571BB0FF6}
1452337.60656408,715258.14439857,139,T,Malus spp,11,80,0,67,wright av,2020/01/22 00:00:00+00,{B4F69F32-FC23-434F-B2A8-5CFB6A5E40AA}
1452498.89889241,715312.326704904,140,R,Unknown,0,0,2007,33,conger av,2022/06/08 00:00:00+00,{25BA2B20-C5F7-4E7A-A5EF-B15CD25A18E1}
1452500.10919183,715346.235101655,141,T,Malus 'Purple prince',2,80,2022,27,conger av,2022/06/08 00:00:00+00,{3A90AC04-28EC-403F-8307-AED5DE5EA56F}
1452499.99698733,715381.167774573,142,R,Malus 'Hargozam',2,80,2022,25,conger av,2022/06/08 00:00:00+00,{B27E0384-B7E9-4FA8-9EDA-898C9B8ED599}
1452499.82474358,715414.842247903,143,T,Malus 'Purple prince',2,80,2022,25,conger av,2022/06/08 00:00:00+00,{E5EAE566-0548-4E0E-8C3B-4EAF860E9BA3}
1452270.56995274,722966.238562405,144,T,Acer saccharum,22,80,1982,0,battery st,2018/12/27 00:00:00+00,{B5C2BD6C-DB35-499A-AD14-3E8FFF2015A5}
1452279.44263841,722936.38593182,145,T,Gleditsia triacanthos var. inermis 'Shademaster',26,80,0,0,battery st,2021/06/24 00:00:00+00,{2DFBE29D-CACB-495B-A737-4EDC2B12CED0}
1452311.53706241,722875.498914488,146,T,Ulmus americana 'Princeton',3,80,2016,0,battery st,2021/06/24 00:00:00+00,{506F86C8-BDD4-4574-BF66-43EBE1029BD7}
1452352.00122033,722822.678482071,147,T,Gleditsia triacanthos var. inermis 'Shademaster',23,80,0,0,battery st,2021/06/23 00:00:00+00,{6ADED033-E50E-4E10-9AE7-3296CB2CBE16}
1452384.52904241,722807.712632738,148,T,Gleditsia triacanthos var. inermis 'Shademaster',19,80,0,0,battery st,2021/06/23 00:00:00+00,{622A43B9-E25D-4D55-8C9C-57FFEAA37E6E}
1452419.20220141,722794.149011575,149,T,Gleditsia triacanthos var. inermis 'Shademaster',21,80,0,0,battery st,2021/06/24 00:00:00+00,{1099D3FA-3191-4191-82F1-BE26E5346EF2}
1452450.86814858,722778.768136822,150,T,Gleditsia triacanthos var. inermis 'Shademaster',18,80,0,0,battery st,2021/06/25 00:00:00+00,{812D7B4F-3330-474C-879B-023975D6F393}
1452495.200409,722761.57821057,151,T,Gleditsia triacanthos var. inermis 'Shademaster',28,80,0,0,battery st,2021/06/25 00:00:00+00,{42CEF497-D73C-45ED-866C-699435B03248}
1452539.5408715,722746.603831075,152,T,Acer x freemannii 'Matador',6,80,2014,0,battery st,2021/06/25 00:00:00+00,{57853367-59D1-46F1-B716-39A7806DBA85}
1452573.91317808,722729.912263408,153,T,Gleditsia triacanthos var. inermis 'Shademaster',20,80,0,0,battery st,2021/06/25 00:00:00+00,{E8BE43D9-FE21-4461-9855-EAB4A67208DC}
1452608.1037265,722716.13145107,154,T,Gleditsia triacanthos var. inermis 'Shademaster',29,80,0,0,battery st,2021/06/28 00:00:00+00,{C14D007D-FB63-4282-9FCE-28FE1F09A6DE}
1452651.35528041,722739.539540738,155,T,Picea pungens,15,70,0,0,battery st,2011/07/28 00:00:00+00,{D5D03503-CD75-417D-8830-84D58A078308}
1452614.37602366,722794.053539321,156,T,Acer rubrum,15,80,0,0,battery st,2014/09/16 00:00:00+00,{0FBC70D0-1822-42F9-81FF-CD9141544B01}
1452577.63134649,722848.178431071,157,T,Ulmus americana 'Princeton',3,80,2013,0,battery st,2019/03/22 00:00:00+00,{B340CC14-F528-4717-A6AB-2CB33ECE1E44}
1452524.09831708,722934.852142237,158,T,Acer saccharum,18,80,0,0,battery st,2011/07/28 00:00:00+00,{E57360A4-1537-4740-AC9C-73A0730FE747}
1452550.31348775,722902.039543822,159,T,Quercus rubra,24,80,0,0,battery st,2022/05/12 00:00:00+00,{CEC61CFF-958A-48AF-A535-646111CDC53F}
1452547.88304641,722857.247966737,160,T,Quercus rubra,20,80,0,0,battery st,2011/07/28 00:00:00+00,{A14AAF3A-E300-4CD1-8AC0-3713A2B36CA0}
1452508.64690441,722890.407677323,161,T,Quercus rubra,19,80,0,0,battery st,2011/07/28 00:00:00+00,{996B4EBE-94A7-463D-8572-441FD7D2AF75}
1452469.5843185,722837.629895739,162,T,Acer saccharum,18,80,0,0,battery st,2011/07/28 00:00:00+00,{BAA19877-0F31-47EB-B2A6-AE7F9B83C8E3}
1452483.43370024,722879.627843238,163,R,,0,0,0,0,battery st,2015/10/06 00:00:00+00,{C4D2F240-8C02-4434-9025-5157C1E33DD9}
1452487.15219675,722896.032337986,164,R,,0,0,0,0,battery st,2015/10/06 00:00:00+00,{191F8818-406F-41AB-A58B-18FE981D5A5A}
1452434.36850966,722907.778377488,165,T,Pinus resinosa,14,50,0,0,battery st,2011/07/28 00:00:00+00,{7A7ED413-7B84-43BA-8E3C-C453500C64AD}
1452450.62110183,722902.80496224,166,R,,0,0,0,0,battery st,2015/10/06 00:00:00+00,{E6690437-BF96-4FA7-AB9D-6D574CFE9E81}
1452446.61356391,722891.177688904,167,T,Pinus resinosa,16,50,0,0,battery st,2011/07/28 00:00:00+00,{A8409097-6B90-41DB-AEA2-A64E365FFFF3}
1452433.84751333,722893.305309318,168,T,Pinus resinosa,15,50,0,0,battery st,2011/07/28 00:00:00+00,{6E3AE63C-25D1-4D80-97D9-1B1BF1F3BB81}
1452431.350143,722864.784040906,169,T,Pinus resinosa,19,50,0,0,battery st,2011/07/28 00:00:00+00,{E8D4943A-CC60-479F-892C-7A57445AD61C}
1452405.56902658,722890.82565549,170,T,Pinus resinosa,14,50,0,0,battery st,2011/07/28 00:00:00+00,{334EA0BE-4B77-4C5A-9BF9-FCF52970FE6B}
1452422.49615808,722883.534003407,171,R,,0,0,0,0,battery st,2015/10/06 00:00:00+00,{975C291F-C99F-4184-B2FA-E8293B20494E}
1452405.82952474,722866.346373737,172,T,Acer saccharum,16,70,0,0,battery st,2011/07/28 00:00:00+00,{313A3356-55DE-4D3D-9610-EF42E6CDCA01}
1452453.50954749,722917.437806986,173,T,Crataegus phaenopyrum,6,30,0,0,battery st,2011/07/28 00:00:00+00,{62F8D732-FA73-436D-8602-D3C13A1BE82F}
1452713.85515541,722717.491028406,174,T,Celtis occidentalis,11,70,0,0,battery st,2019/03/08 00:00:00+00,{E663F63D-598C-49E8-A6BE-3D9F7E74DEDB}
1452690.93853458,722737.97687982,175,S,Robinia pseudoacacia,28,30,0,0,battery st,2019/05/08 00:00:00+00,{768E5B10-3BEB-4E6E-9AFC-7C51AD0E28F2}
1452711.07760191,722754.990953408,176,T,Celtis occidentalis,13,70,0,0,battery st,2019/03/08 00:00:00+00,{05808868-AFEE-46A2-B415-11FE593F0535}
