plant_id,surveyed_on,surveyor,dbh_in,height_ft,spread_ft,condition,status,photo,notes
UVM-0760,2023-10-22,EC,,,,good,active,,
UVM-4009,2023-10-22,EC,,,,good,active,,
UVM-0761,2023-10-22,EC,,,,good,active,,
UVM-0762,2023-10-22,EC,,,,good,active,,"SPECIES CONFLICT: on file as quercus-michauxii; ArcGIS says ""Swamp white oak"" (quercus-bicolor) — check in person; POSITION CONFLICT: ArcGIS puts it 13 m from the recorded position — position on file was kept"
UVM-4010,2023-10-22,EC,,,,good,active,,
UVM-0763,2023-10-22,EC,,,,good,active,,
UVM-0764,2023-10-22,EC,,,,good,active,,
UVM-0765,2023-10-22,EC,,,,good,active,,
UVM-3830,2023-10-22,EC,,,,good,active,,
UVM-3829,2023-10-22,EC,,,,good,active,,
UVM-3828,2023-10-22,EC,,,,good,active,,
UVM-3827,2023-10-22,EC,,,,good,active,,
UVM-3826,2023-10-22,EC,,,,good,active,,
UVM-0781,2023-10-22,EC,,,,good,active,,
UVM-4011,2023-10-22,EC,,,,good,active,,
UVM-4012,2023-10-22,EC,,,,good,active,,
UVM-0780,2023-10-22,EC,,,,good,active,,
UVM-0779,2023-10-22,EC,,,,good,active,,
UVM-0778,2023-10-22,EC,,,,good,active,,
UVM-0775,2023-10-22,EC,,,,good,active,,
UVM-0772,2023-10-22,EC,,,,good,active,,
UVM-0771,2023-10-22,EC,,,,good,active,,
UVM-0770,2023-10-22,EC,,,,good,active,,
UVM-0769,2023-10-22,EC,,,,good,active,,
UVM-0768,2023-10-22,EC,,,,good,active,,
UVM-0767,2023-10-22,EC,,,,good,active,,
UVM-0640,2023-10-22,EC,,,,good,active,,
UVM-0636,2023-10-22,EC,,,,good,active,,
UVM-3822,2023-10-22,EC,,,,good,active,,
UVM-3823,2023-10-22,EC,,,,good,active,,
UVM-3824,2023-10-22,EC,,,,good,active,,
UVM-3825,2023-10-22,EC,,,,good,active,,
UVM-0658,2023-10-22,EC,,,,good,active,,
UVM-3819,2023-10-22,EC,,,,good,active,,
UVM-3820,2023-10-22,EC,,,,good,active,,
UVM-3821,2023-10-22,EC,,,,good,active,,
UVM-0654,2023-10-22,EC,,,,good,active,,
UVM-0649,2023-10-22,EC,,,,good,active,,
UVM-0650,2023-10-22,EC,,,,good,active,,
UVM-0651,2023-10-22,EC,,,,good,active,,
UVM-0652,2023-10-22,EC,,,,good,active,,
UVM-0653,2023-10-22,EC,,,,good,active,,
UVM-0644,2023-10-22,EC,,,,good,active,,
UVM-0645,2023-10-22,EC,,,,good,active,,
UVM-0646,2023-10-22,EC,,,,good,active,,
UVM-0647,2023-10-22,EC,,,,good,active,,
UVM-0756,2023-10-23,EC,,,,good,active,,
UVM-1356,2023-10-23,EC,,,,good,active,,
UVM-1357,2023-10-23,EC,,,,good,active,,
UVM-4013,2023-10-23,EC,,,,good,active,,
UVM-4014,2023-10-23,EC,,,,good,active,,
UVM-4015,2023-10-23,EC,,,,good,active,,
UVM-3801,2023-10-23,EC,,,,good,active,,
UVM-0619,2023-10-23,EC,,,,good,active,,
UVM-0621,2023-10-23,EC,,,,good,active,,
UVM-0622,2023-10-23,EC,,,,good,active,,
UVM-0623,2023-10-23,EC,,,,good,active,,
UVM-0624,2023-10-23,EC,,,,good,active,,
UVM-0620,2023-10-23,EC,,,,good,active,,
UVM-4016,2023-10-23,EC,,,,good,active,,
UVM-0618,2023-10-23,EC,,,,good,active,,
UVM-4017,2023-10-23,EC,,,,good,active,,
UVM-4018,2023-10-23,EC,,,,good,active,,
UVM-4019,2023-10-23,EC,,,,good,active,,
UVM-4020,2023-10-23,EC,,,,good,active,,
UVM-0617,2023-10-23,EC,,,,good,active,,
UVM-0616,2023-10-23,EC,,,,good,active,,
UVM-4021,2023-10-23,EC,,,,good,active,,
UVM-4022,2023-10-23,EC,,,,good,active,,
UVM-4023,2023-10-23,EC,,,,good,active,,
UVM-4024,2023-10-23,EC,,,,good,active,,
UVM-4025,2023-10-23,EC,,,,good,active,,
UVM-4026,2023-10-23,EC,,,,good,active,,
UVM-4027,2023-10-23,EC,,,,good,active,,
UVM-4028,2023-10-23,EC,,,,good,active,,
UVM-4029,2023-10-23,EC,,,,good,active,,
UVM-4030,2023-10-23,EC,,,,good,active,,
UVM-4031,2023-10-23,EC,,,,good,active,,
UVM-4032,2023-10-23,EC,,,,good,active,,
UVM-0615,2023-10-23,EC,,,,good,active,,
UVM-4033,2023-10-23,EC,,,,good,active,,
UVM-4034,2023-10-23,EC,,,,good,active,,
UVM-4035,2023-10-23,EC,,,,good,active,,
UVM-4036,2023-10-23,EC,,,,good,active,,
UVM-4037,2023-10-23,EC,,,,good,active,,
UVM-4038,2023-10-23,EC,,,,good,active,,
UVM-4039,2023-10-23,EC,,,,good,active,,
UVM-0602,2023-10-23,EC,,,,good,active,,
UVM-1354,2023-10-23,EC,,,,good,active,,
UVM-1353,2023-10-23,EC,,,,good,active,,
UVM-4040,2023-10-23,EC,,,,good,active,,
UVM-4041,2023-10-23,EC,,,,fair,active,,
UVM-1352,2023-10-23,EC,,,,good,active,,
UVM-4042,2023-10-23,EC,,,,good,active,,
UVM-4043,2023-10-24,EC,,,,good,active,,
UVM-4044,2023-10-24,EC,,,,good,active,,
UVM-4045,2023-10-24,EC,,,,good,active,,
UVM-0034,2023-10-24,EC,,,,good,active,,
UVM-4046,2023-10-24,EC,,,,good,active,,
UVM-1343,2023-10-24,EC,,,,good,active,,
UVM-1342,2023-10-24,EC,,,,good,active,,
UVM-4047,2023-10-24,EC,,,,good,active,,
UVM-1341,2023-10-24,EC,,,,good,active,,
UVM-1333,2023-10-24,EC,,,,good,active,,
UVM-1334,2023-10-24,EC,,,,good,active,,
UVM-1335,2023-10-24,EC,,,,good,active,,
UVM-1336,2023-10-24,EC,,,,good,active,,
UVM-1337,2023-10-24,EC,,,,good,active,,
UVM-1338,2023-10-24,EC,,,,good,active,,
UVM-1328,2023-10-24,EC,,,,good,active,,
UVM-1329,2023-10-24,EC,,,,good,active,,
UVM-1330,2023-10-24,EC,,,,good,active,,
UVM-1331,2023-10-24,EC,,,,good,active,,
UVM-1332,2023-10-24,EC,,,,good,active,,
UVM-4048,2023-10-24,EC,,,,good,active,,
UVM-3009,2023-10-24,EC,,,,good,active,,
UVM-0338,2023-10-24,EC,,,,good,active,,
UVM-3010,2023-10-24,EC,,,,good,active,,
UVM-3011,2023-10-24,EC,,,,good,active,,
UVM-3012,2023-10-24,EC,,,,good,active,,
UVM-3006,2023-10-24,EC,,,,fair,active,,
UVM-3007,2023-10-24,EC,,,,good,active,,
UVM-4049,2023-10-24,EC,,,,good,active,,
UVM-4050,2023-10-24,EC,,,,good,active,,
UVM-3008,2023-10-24,EC,,,,good,active,,
UVM-3005,2023-10-24,EC,,,,good,active,,
UVM-3004,2023-10-24,EC,,,,good,active,,
UVM-1366,2023-10-24,EC,,,,good,active,,
UVM-1365,2023-10-24,EC,,,,good,active,,
UVM-1364,2023-10-24,EC,,,,good,active,,
UVM-1363,2023-10-24,EC,,,,good,active,,
UVM-1362,2023-10-24,EC,,,,good,active,,
UVM-1361,2023-10-24,EC,,,,good,active,,
UVM-1360,2023-10-24,EC,,,,good,active,,
UVM-0346,2023-10-24,EC,,,,good,active,,
UVM-0347,2023-10-24,EC,,,,good,active,,
UVM-0348,2023-10-24,EC,,,,good,active,,
UVM-0349,2023-10-24,EC,,,,good,active,,
UVM-4051,2023-10-24,EC,,,,good,active,,
UVM-0343,2023-10-25,EC,,,,good,active,,
UVM-1359,2023-10-25,EC,,,,good,active,,
UVM-0383,2023-10-25,EC,,,,good,active,,
UVM-0341,2023-10-25,EC,,,,good,active,,
UVM-1358,2023-10-25,EC,,,,good,active,,
UVM-0340,2023-10-25,EC,,,,good,active,,
UVM-4052,2023-10-25,EC,,,,good,active,,
UVM-0364,2023-10-25,EC,,,,good,active,,
UVM-0363,2023-10-25,EC,,,,good,active,,
UVM-0350,2023-10-25,EC,,,,good,active,,
UVM-0351,2023-10-25,EC,,,,good,active,,
UVM-3001,2023-10-25,EC,,,,good,active,,
UVM-0360,2023-10-25,EC,,,,good,active,,
UVM-0361,2023-10-25,EC,,,,good,active,,
UVM-0362,2023-10-25,EC,,,,good,active,,
UVM-4053,2023-10-25,EC,,,,good,active,,
UVM-0365,2023-10-25,EC,,,,good,active,,
UVM-0366,2023-10-25,EC,,,,good,active,,
UVM-4054,2023-10-25,EC,,,,good,active,,
UVM-4055,2023-10-25,EC,,,,good,active,,
UVM-4056,2023-10-25,EC,,,,good,active,,
UVM-4057,2023-10-25,EC,,,,good,active,,
UVM-4058,2023-10-25,EC,,,,good,active,,
UVM-0370,2023-10-25,EC,,,,good,active,,
UVM-4059,2023-10-25,EC,,,,good,active,,
UVM-4060,2023-10-25,EC,,,,good,active,,
UVM-3002,2023-10-25,EC,,,,good,active,,
UVM-4061,2023-10-25,EC,,,,good,active,,
UVM-0376,2023-10-25,EC,,,,good,active,,
UVM-0377,2023-10-25,EC,,,,good,active,,
UVM-0379,2023-10-25,EC,,,,good,active,,
UVM-4062,2023-10-25,EC,,,,good,active,,
UVM-1314,2023-10-25,EC,,,,good,active,,
UVM-1313,2023-10-25,EC,,,,good,active,,
UVM-4063,2023-10-25,EC,,,,good,active,,
UVM-1311,2023-10-25,EC,,,,good,active,,
UVM-3014,2023-10-25,EC,,,,good,active,,
UVM-4064,2023-10-25,EC,,,,good,active,,
UVM-4065,2023-10-25,EC,,,,good,active,,
UVM-4066,2023-10-25,EC,,,,good,active,,
UVM-3015,2023-10-25,EC,,,,good,active,,
UVM-0326,2023-10-25,EC,,,,good,active,,
UVM-3013,2023-10-25,EC,,,,good,active,,
UVM-1321,2023-10-25,EC,,,,good,active,,
UVM-1320,2023-10-25,EC,,,,good,active,,
UVM-1319,2023-10-25,EC,,,,good,active,,
UVM-1318,2023-10-25,EC,,,,good,active,,
UVM-1317,2023-10-25,EC,,,,good,active,,
UVM-1316,2023-10-25,EC,,,,good,active,,
UVM-1315,2023-10-25,EC,,,,good,active,,
UVM-4067,2023-10-26,EC,,,,good,active,,
UVM-4068,2023-10-26,EC,,,,good,active,,
UVM-4069,2023-10-26,EC,,,,good,active,,
UVM-4070,2023-10-26,EC,,,,good,active,,
UVM-1322,2023-10-26,EC,,,,good,active,,
UVM-4071,2023-10-26,EC,,,,good,active,,
UVM-1324,2023-10-26,EC,,,,good,active,,
UVM-4072,2023-10-26,EC,,,,good,active,,
UVM-4073,2023-10-26,EC,,,,good,active,,
UVM-4074,2023-10-26,EC,,,,good,active,,
UVM-0323,2023-10-26,EC,,,,good,active,,
UVM-0322,2023-10-26,EC,,,,good,active,,
UVM-0321,2023-10-26,EC,,,,good,active,,
UVM-0320,2023-10-26,EC,,,,good,active,,
UVM-0319,2023-10-26,EC,,,,good,active,,
UVM-0318,2023-10-26,EC,,,,good,active,,
UVM-3208,2023-10-26,EC,,,,good,active,,
UVM-4075,2023-10-26,EC,,,,good,active,,
UVM-3209,2023-10-26,EC,,,,good,active,,
UVM-0316,2023-10-26,EC,,,,good,active,,
UVM-3210,2023-10-26,EC,,,,good,active,,
UVM-3211,2023-10-26,EC,,,,good,active,,
UVM-0310,2023-10-26,EC,,,,good,active,,
UVM-0309,2023-10-26,EC,,,,good,active,,
UVM-0308,2023-10-26,EC,,,,good,active,,
UVM-0314,2023-10-26,EC,,,,good,active,,
UVM-0313,2023-10-26,EC,,,,good,active,,
UVM-0311,2023-10-26,EC,,,,good,active,,
UVM-0312,2023-10-26,EC,,,,good,active,,
UVM-0307,2023-10-26,EC,,,,good,active,,
UVM-0306,2023-10-26,EC,,,,good,active,,
UVM-0304,2023-10-26,EC,,,,good,active,,
UVM-0305,2023-10-26,EC,,,,good,active,,
UVM-0298,2023-10-26,EC,,,,good,active,,
UVM-0299,2023-10-26,EC,,,,good,active,,
UVM-3269,2023-10-26,EC,,,,good,active,,
UVM-0301,2023-10-26,EC,,,,good,active,,
UVM-0294,2023-10-26,EC,,,,good,active,,
UVM-0295,2023-10-26,EC,,,,good,active,,
UVM-0296,2023-10-26,EC,,,,good,active,,
UVM-0297,2023-10-26,EC,,,,good,active,,
UVM-4076,2023-10-26,EC,,,,good,active,,
UVM-4077,2023-10-26,EC,,,,good,active,,
UVM-3273,2023-10-26,EC,,,,good,active,,
UVM-0289,2023-10-26,EC,,,,good,active,,
UVM-3272,2023-10-26,EC,,,,good,active,,
UVM-3271,2023-10-26,EC,,,,good,active,,
UVM-4078,2023-10-26,EC,,,,good,active,,
UVM-0291,2023-10-26,EC,,,,good,active,,
UVM-0292,2023-10-26,EC,,,,good,active,,
UVM-0394,2023-10-26,EC,,,,good,active,,
UVM-4079,2023-10-26,EC,,,,good,active,,
UVM-4080,2023-10-26,EC,,,,good,active,,
UVM-4081,2023-10-26,EC,,,,good,active,,
UVM-4082,2023-10-26,EC,,,,good,active,,
UVM-4083,2023-10-26,EC,,,,good,active,,
UVM-4084,2023-10-26,EC,,,,good,active,,
UVM-4085,2023-10-26,EC,,,,good,active,,
UVM-0271,2023-10-26,EC,,,,good,active,,
UVM-0270,2023-10-26,EC,,,,good,active,,
UVM-0269,2023-10-26,EC,,,,good,active,,
UVM-3255,2023-10-26,EC,,,,good,active,,
UVM-0267,2023-10-26,EC,,,,good,active,,
UVM-0263,2023-10-26,EC,,,,good,active,,
UVM-0264,2023-10-26,EC,,,,good,active,,
UVM-0265,2023-10-26,EC,,,,good,active,,
UVM-3270,2023-10-26,EC,,,,good,active,,
UVM-3268,2023-10-26,EC,,,,good,active,,
UVM-1302,2023-10-26,EC,,,,good,active,,
UVM-0282,2023-10-26,EC,,,,good,active,,
UVM-3267,2023-10-26,EC,,,,good,active,,
UVM-3266,2023-10-26,EC,,,,good,active,,
UVM-0280,2023-10-26,EC,,,,good,active,,
UVM-3265,2023-10-26,EC,,,,good,active,,
UVM-3264,2023-10-26,EC,,,,good,active,,
UVM-3263,2023-10-26,EC,,,,good,active,,
UVM-0258,2023-10-26,EC,,,,good,active,,
UVM-3262,2023-10-26,EC,,,,good,active,,
UVM-3261,2023-10-26,EC,,,,good,active,,
UVM-0491,2023-10-26,EC,,,,good,active,,
UVM-0250,2023-10-26,EC,,,,good,active,,
UVM-3260,2023-10-26,EC,,,,good,active,,
UVM-4086,2023-10-26,EC,,,,good,active,,
UVM-0246,2023-10-26,EC,,,,fair,active,,
UVM-3259,2023-10-26,EC,,,,good,active,,
UVM-0242,2023-10-26,EC,,,,good,active,,
UVM-0241,2023-10-26,EC,,,,good,active,,
UVM-0239,2023-10-26,EC,,,,good,active,,
UVM-4087,2023-10-26,EC,,,,good,active,,
UVM-0236,2023-10-26,EC,,,,good,active,,
UVM-1096,2023-10-28,EC,,,,good,active,,
UVM-3016,2023-10-28,EC,,,,good,active,,
UVM-3017,2023-10-28,EC,,,,good,active,,
UVM-1093,2023-10-28,EC,,,,good,active,,
UVM-1092,2023-10-28,EC,,,,good,active,,
UVM-1091,2023-10-28,EC,,,,good,active,,
UVM-1089,2023-10-28,EC,,,,good,active,,
UVM-1076,2023-10-28,EC,,,,good,active,,
UVM-1074,2023-10-28,EC,,,,good,active,,
UVM-1072,2023-10-28,EC,,,,good,active,,
UVM-0633,2023-10-28,EC,,,,good,active,,
UVM-1069,2023-10-28,EC,,,,good,active,,
UVM-1064,2023-10-28,EC,,,,good,active,,
UVM-1061,2023-10-28,EC,,,,good,active,,
UVM-1062,2023-10-28,EC,,,,good,active,,
UVM-1063,2023-10-28,EC,,,,good,active,,
UVM-1060,2023-10-28,EC,,,,good,active,,
UVM-1057,2023-10-28,EC,,,,good,active,,
UVM-1058,2023-10-28,EC,,,,good,active,,
UVM-1056,2023-10-28,EC,,,,good,active,,
UVM-1055,2023-10-28,EC,,,,good,active,,
UVM-1054,2023-10-28,EC,,,,good,active,,
UVM-1052,2023-10-28,EC,,,,fair,active,,
UVM-1053,2023-10-28,EC,,,,good,active,,
UVM-1050,2023-10-28,EC,,,,good,active,,
UVM-1049,2023-10-28,EC,,,,good,active,,
UVM-1048,2023-10-28,EC,,,,good,active,,
UVM-1047,2023-10-28,EC,,,,good,active,,
UVM-0512,2023-10-28,EC,,,,good,active,,
UVM-0511,2023-10-28,EC,,,,good,active,,
UVM-0510,2023-10-28,EC,,,,good,active,,
UVM-0509,2023-10-28,EC,,,,good,active,,
UVM-1039,2023-10-28,EC,,,,good,active,,
UVM-1044,2023-10-28,EC,,,,good,active,,
UVM-1045,2023-10-28,EC,,,,good,active,,
UVM-1046,2023-10-28,EC,,,,good,active,,
UVM-0518,2023-10-28,EC,,,,good,active,,
UVM-0517,2023-10-28,EC,,,,good,active,,
UVM-0515,2023-10-28,EC,,,,good,active,,
UVM-0516,2023-10-28,EC,,,,good,active,,
UVM-0514,2023-10-28,EC,,,,good,active,,
UVM-0513,2023-10-28,EC,,,,good,active,,
UVM-1080,2023-10-28,EC,,,,good,active,,
UVM-1083,2023-10-28,EC,,,,good,active,,
UVM-1084,2023-10-28,EC,,,,good,active,,
UVM-1085,2023-10-28,EC,,,,good,active,,
UVM-1086,2023-10-28,EC,,,,good,active,,
UVM-1087,2023-10-28,EC,,,,good,active,,
UVM-1088,2023-10-28,EC,,,,good,active,,
UVM-1100,2023-10-28,EC,,,,good,active,,
UVM-4088,2023-10-28,EC,,,,good,active,,
UVM-4089,2023-10-28,EC,,,,good,active,,
UVM-4090,2023-10-28,EC,,,,good,active,,
UVM-4091,2023-10-28,EC,,,,good,active,,
UVM-4092,2023-10-28,EC,,,,good,active,,
UVM-4093,2023-10-28,EC,,,,good,active,,
UVM-4094,2023-10-28,EC,,,,good,active,,
UVM-1099,2023-10-28,EC,,,,good,active,,
UVM-1097,2023-10-28,EC,,,,good,active,,
UVM-4095,2023-10-28,EC,,,,good,active,,
UVM-4096,2023-10-28,EC,,,,good,active,,
UVM-4097,2023-10-28,EC,,,,good,active,,
UVM-4098,2023-10-28,EC,,,,good,active,,
UVM-4099,2023-10-28,EC,,,,good,active,,
UVM-4100,2023-10-28,EC,,,,good,active,,
UVM-4101,2023-10-28,EC,,,,good,active,,
UVM-4102,2023-10-28,EC,,,,good,active,,
UVM-4103,2023-10-28,EC,,,,good,active,,
UVM-4104,2023-10-28,EC,,,,good,active,,
UVM-4105,2023-10-28,EC,,,,good,active,,
UVM-4106,2023-10-28,EC,,,,good,active,,
UVM-4107,2023-10-28,EC,,,,good,active,,
UVM-4108,2023-10-28,EC,,,,good,active,,
UVM-4109,2023-10-28,EC,,,,good,active,,
UVM-4110,2023-10-28,EC,,,,good,active,,
UVM-4111,2023-10-28,EC,,,,good,active,,
UVM-4112,2023-10-28,EC,,,,good,active,,
UVM-4113,2023-10-28,EC,,,,good,active,,
UVM-0472,2023-10-28,EC,,,,good,active,,
UVM-0459,2023-10-28,EC,,,,good,active,,
UVM-4114,2023-10-28,EC,,,,good,active,,
UVM-4115,2023-10-28,EC,,,,good,active,,
UVM-4116,2023-10-28,EC,,,,good,active,,
UVM-4117,2023-10-28,EC,,,,good,active,,
UVM-4118,2023-10-28,EC,,,,good,active,,
UVM-4119,2023-10-28,EC,,,,good,active,,
UVM-4120,2023-10-28,EC,,,,good,active,,
UVM-4121,2023-10-28,EC,,,,good,active,,
UVM-4122,2023-10-28,EC,,,,good,active,,
UVM-0417,2023-10-28,EC,,,,good,active,,
UVM-4123,2023-10-28,EC,,,,good,active,,
UVM-4124,2023-10-28,EC,,,,good,active,,
UVM-0422,2023-10-28,EC,,,,good,active,,
UVM-0423,2023-10-28,EC,,,,good,active,,
UVM-0424,2023-10-28,EC,,,,good,active,,
UVM-3201,2023-10-28,EC,,,,good,active,,
UVM-0426,2023-10-28,EC,,,,good,active,,
UVM-0427,2023-10-28,EC,,,,good,active,,
UVM-0428,2023-10-28,EC,,,,good,active,,
UVM-0429,2023-10-28,EC,,,,good,active,,
UVM-0430,2023-10-28,EC,,,,good,active,,
UVM-0431,2023-10-28,EC,,,,good,active,,
UVM-0433,2023-10-28,EC,,,,good,active,,
UVM-3202,2023-10-28,EC,,,,good,active,,
UVM-0435,2023-10-28,EC,,,,good,active,,
UVM-0440,2023-10-28,EC,,,,good,active,,
UVM-0441,2023-10-28,EC,,,,good,active,,
UVM-0436,2023-10-28,EC,,,,good,active,,
UVM-0442,2023-10-28,EC,,,,good,active,,
UVM-0443,2023-10-28,EC,,,,good,active,,
UVM-0432,2023-10-28,EC,,,,good,active,,
UVM-3204,2023-10-28,EC,,,,good,active,,
UVM-0445,2023-10-28,EC,,,,good,active,,
UVM-3203,2023-10-28,EC,,,,good,active,,
UVM-0449,2023-10-28,EC,,,,good,active,,
UVM-0450,2023-10-28,EC,,,,good,active,,
UVM-0451,2023-10-28,EC,,,,good,active,,
UVM-0452,2023-10-28,EC,,,,good,active,,
UVM-3205,2023-10-28,EC,,,,good,active,,
UVM-0464,2023-10-28,EC,,,,good,active,,
UVM-0454,2023-10-28,EC,,,,good,active,,
UVM-0456,2023-10-28,EC,,,,good,active,,
UVM-0457,2023-10-28,EC,,,,good,active,,
UVM-0458,2023-10-28,EC,,,,good,active,,
UVM-3206,2023-10-28,EC,,,,good,active,,
UVM-0462,2023-10-28,EC,,,,good,active,,
UVM-0463,2023-10-28,EC,,,,good,active,,
UVM-4125,2023-10-28,EC,,,,good,active,,TAG DISPUTED: tag 464 is also on UVM-0464 — check in person
UVM-0465,2023-10-28,EC,,,,good,active,,
UVM-0466,2023-10-28,EC,,,,good,active,,
UVM-0467,2023-10-28,EC,,,,good,active,,
UVM-0468,2023-10-28,EC,,,,good,active,,
UVM-0469,2023-10-28,EC,,,,good,active,,
UVM-0470,2023-10-28,EC,,,,good,active,,
UVM-4126,2023-10-28,EC,,,,good,active,,
UVM-0474,2023-10-28,EC,,,,good,active,,
UVM-0475,2023-10-28,EC,,,,good,active,,
UVM-3207,2023-10-28,EC,,,,good,active,,
UVM-0477,2023-10-28,EC,,,,good,active,,
UVM-0480,2023-10-28,EC,,,,good,active,,
UVM-0478,2023-10-28,EC,,,,good,active,,
UVM-4127,2023-10-28,EC,,,,good,active,,
UVM-4128,2023-10-28,EC,,,,good,active,,
UVM-3295,2023-10-28,EC,,,,good,active,,
UVM-3296,2023-10-28,EC,,,,good,active,,
UVM-3297,2023-10-28,EC,,,,good,active,,
UVM-4129,2023-10-28,EC,,,,good,active,,
UVM-4130,2023-10-28,EC,,,,good,active,,
UVM-4131,2023-10-28,EC,,,,good,active,,
UVM-4132,2023-10-28,EC,,,,good,active,,
UVM-4133,2023-10-28,EC,,,,good,active,,
UVM-4134,2023-10-28,EC,,,,good,active,,
UVM-4135,2023-10-28,EC,,,,good,active,,
UVM-4136,2023-10-28,EC,,,,good,active,,
UVM-4137,2023-10-28,EC,,,,good,active,,
UVM-4138,2023-10-28,EC,,,,good,active,,
UVM-4139,2023-10-28,EC,,,,good,active,,
UVM-4140,2023-10-28,EC,,,,good,active,,
UVM-4141,2023-10-28,EC,,,,good,active,,
UVM-4142,2023-10-28,EC,,,,good,active,,
UVM-4143,2023-10-28,EC,,,,good,active,,
UVM-4144,2023-10-28,EC,,,,good,active,,
UVM-4145,2023-10-28,EC,,,,good,active,,
UVM-2887,2023-10-29,EC,,,,good,active,,
UVM-4146,2023-10-29,EC,,,,good,active,,
UVM-4147,2023-10-29,EC,,,,good,active,,
UVM-4148,2023-10-29,EC,,,,good,active,,
UVM-4149,2023-10-29,EC,,,,good,active,,
UVM-4150,2023-10-29,EC,,,,good,active,,
UVM-4151,2023-10-29,EC,,,,good,active,,
UVM-4152,2023-10-29,EC,,,,good,active,,
UVM-3274,2023-10-29,EC,,,,good,active,,
UVM-3275,2023-10-29,EC,,,,good,active,,
UVM-3276,2023-10-29,EC,,,,good,active,,
UVM-3277,2023-10-29,EC,,,,good,active,,
UVM-4153,2023-10-29,EC,,,,good,active,,
UVM-4154,2023-10-29,EC,,,,good,active,,
UVM-4155,2023-10-29,EC,,,,good,active,,
UVM-4156,2023-10-29,EC,,,,good,active,,
UVM-4157,2023-10-29,EC,,,,good,active,,
UVM-4158,2023-10-29,EC,,,,good,active,,
UVM-4159,2023-10-29,EC,,,,good,active,,
UVM-0402,2023-10-29,EC,,,,good,active,,
UVM-4160,2023-10-29,EC,,,,good,active,,
UVM-4161,2023-10-29,EC,,,,good,active,,
UVM-3278,2023-10-29,EC,,,,good,active,,
UVM-4162,2023-10-29,EC,,,,good,active,,
UVM-4163,2023-10-29,EC,,,,good,active,,
UVM-3280,2023-10-29,EC,,,,good,active,,
UVM-3282,2023-10-29,EC,,,,good,active,,
UVM-3284,2023-10-29,EC,,,,good,active,,
UVM-3283,2023-10-29,EC,,,,good,active,,
UVM-3281,2023-10-29,EC,,,,good,active,,
UVM-4164,2023-10-29,EC,,,,good,active,,
UVM-4165,2023-10-29,EC,,,,good,active,,
