city_id,taxon_id,lat,lng,collection_id,dbh_in,condition,planted_year,address,recorded_on,source_id
BTV-4867,quercus-x-warei,44.473966,-73.203284,central,5,good,2018,391 Maple St,2018-06-28,{FCEFE8B2-36B6-42F8-9161-B78C19238458}
BTV-5003,celtis-occidentalis,44.469109,-73.200295,redstone,7,fair,,420 South Prospect St,2013-12-20,{A75816D6-3BF9-425F-B89C-013E5EDDFF09}
BTV-5004,celtis-occidentalis,44.469307,-73.200305,redstone,6,good,,South Prospect St,2013-12-20,{0854DADC-A8C3-4430-981A-28EB09411F63}
BTV-5005,celtis-occidentalis,44.469417,-73.200308,redstone,9,good,,South Prospect St,2013-12-20,{A3C5EDE9-D4B1-4826-9D03-B45EAD5C4DE7}
BTV-5006,celtis-occidentalis,44.469530,-73.200311,redstone,8,fair,,South Prospect St,2013-12-20,{E2204F6B-2AC4-4D4D-9D01-852574E9CD26}
BTV-5007,celtis-occidentalis,44.469644,-73.200315,redstone,9,good,,South Prospect St,2013-12-20,{FEE06AF3-7995-46D6-874B-A197681574D6}
BTV-5008,celtis-occidentalis,44.469762,-73.200320,redstone,8,fair,,South Prospect St,2013-12-20,{541266CC-5890-439A-A9EE-4CC2E251AF4C}
BTV-5009,celtis-occidentalis,44.469901,-73.200327,redstone,10,good,,South Prospect St,2013-12-20,{1CD7587E-B0ED-4A64-A9D2-85473B9C5AB9}
BTV-5010,celtis-occidentalis,44.470013,-73.200333,redstone,10,fair,,South Prospect St,2013-12-20,{360EB1A9-8D56-4A92-AF1B-A65A17A0274C}
BTV-5011,celtis-occidentalis,44.470122,-73.200337,redstone,10,fair,,South Prospect St,2013-12-20,{B9B26E23-F49E-4C59-9176-038D4856EAE6}
BTV-5012,celtis-occidentalis,44.470233,-73.200344,redstone,8,good,,South Prospect St,2013-12-20,{D090778E-7164-4C73-A623-BEEFDAFEDAF0}
BTV-5013,celtis-occidentalis,44.470349,-73.200345,redstone,8,good,,South Prospect St,2013-12-20,{3D52FAAC-89B5-4D7A-B340-DC1B368F3CE4}
BTV-5014,celtis-occidentalis,44.470463,-73.200349,redstone,7,good,,South Prospect St,2013-12-20,{2EB060BC-EB0E-499B-80ED-6B252A2C7AD5}
BTV-5015,celtis-occidentalis,44.470675,-73.200363,redstone,6,good,,South Prospect St,2013-12-20,{C210D92D-114C-4461-9486-E921DA73ABFB}
BTV-5016,celtis-occidentalis,44.470763,-73.200366,redstone,7,good,,South Prospect St,2013-12-20,{53CE49A9-0D58-426E-9EA8-41392F58CF69}
BTV-5017,celtis-occidentalis,44.470880,-73.200369,redstone,10,good,,South Prospect St,2013-12-20,{0D2139CE-A7CC-46E9-8AA4-CA60A37E168E}
BTV-5018,celtis-occidentalis,44.470980,-73.200376,redstone,9,good,,South Prospect St,2021-07-26,{8158CC25-8A9A-4796-B1DF-A2D14C5B12C1}
BTV-5019,celtis-occidentalis,44.471077,-73.200382,redstone,9,good,,South Prospect St,2021-07-26,{B5F44F02-801E-406B-BC91-42B1EB313E4D}
BTV-5020,celtis-occidentalis,44.471174,-73.200385,redstone,9,fair,,South Prospect St,2013-12-20,{CB231D00-FE05-4568-90B6-7DE8F1B68A88}
BTV-5021,celtis-occidentalis,44.471272,-73.200393,redstone,7,good,,South Prospect St,2013-12-20,{7591F7FC-4F66-4667-9D08-040FF85B8EFE}
BTV-5022,celtis-occidentalis,44.471354,-73.200394,redstone,7,good,,322 South Prospect St,2022-06-23,{3B9225EB-DA96-4C1C-B724-9448CFA622EF}
BTV-5023,celtis-occidentalis,44.471455,-73.200401,redstone,9,good,,322 South Prospect St,2022-06-23,{D55CA8A2-68C6-4A0F-AB80-E684A174FE42}
BTV-5123,crataegus-phaenopyrum,44.474675,-73.200692,central,6,fair,,205 South Prospect St,2018-06-27,{5AC61338-5642-4DCF-90A8-C0F5CD872537}
BTV-5124,carpinus-caroliniana,44.474953,-73.200709,central,2,good,2023,195 South Prospect St,2023-07-27,{8198A3D0-F98F-480C-9579-68C60D53211A}
BTV-5125,malus-sp,44.475033,-73.200717,central,2,good,2023,195 South Prospect St,2023-07-27,{E6926138-B2C0-43A5-9F58-94982778B68B}
BTV-5126,cornus-mas,44.475113,-73.200717,central,2,good,2023,195 South Prospect St,2023-12-14,{B5622DEB-9EE9-4CE3-9A0E-014D1A844AA5}
BTV-5127,acer-platanoides,44.475213,-73.200726,central,8,fair,,195 South Prospect St,2018-06-27,{BC327FEC-64B6-4B07-96D0-D4FD86610FC4}
BTV-5128,crataegus-phaenopyrum,44.475394,-73.200734,central,7,fair,,177 South Prospect St,2018-06-27,{59EC2563-88F8-4D87-8D04-E8BE1E9B3433}
BTV-5134,ulmus-americana-valley-forge,44.474756,-73.200554,central,4,good,,194 South Prospect St,2022-08-10,{67D25724-10C8-45DC-9E79-90A5A4CE903E}
BTV-5135,ulmus-sp,44.474912,-73.200559,central,2,good,2017,194 South Prospect St,2019-03-28,{9306E3EB-E09D-4894-9685-5E291CB1AC4C}
BTV-5137,celtis-occidentalis,44.475290,-73.200577,central,8,fair,,184 South Prospect St,2022-06-22,{EAEB00CF-62ED-44A7-8DD2-75DB83C66255}
BTV-5138,ulmus-americana-valley-forge,44.475403,-73.200578,central,7,fair,,178 South Prospect St,2014-04-10,{D0E1F619-BB9F-4766-BB9D-D001D58445D7}
BTV-5139,celtis-occidentalis,44.475612,-73.200595,central,5,good,,461 Main St,2014-04-10,{105AE1A1-6CA3-4CB6-A90D-FBE3D07901AB}
BTV-5147,scandosorbus-intermedia,44.475428,-73.202269,central,7,good,,26 Summit St,2014-12-29,{FFA55DB3-7ACC-4F4C-A2A2-F4612F2203EF}
BTV-5149,cornus-mas,44.475757,-73.202292,central,2,good,2022,14 Summit St,2022-06-28,{47493E7B-F3DB-4126-A0E9-1E38C8C18504}
BTV-5150,robinia-pseudoacacia,44.476073,-73.202314,central,33,poor,,421 Main St,2022-03-25,{E4059B61-1FDF-4C84-BB23-1564BFA00388}
BTV-5151,quercus-rubra,44.476087,-73.202471,central,8,good,,411 Main St,2014-04-10,{7D62FDC9-F1FE-471B-8C1E-5B0F4C58A6F5}
BTV-5152,quercus-rubra,44.476007,-73.202464,central,6,good,,411 Main St,2014-04-10,{673F47D9-347D-4473-889A-3276A77CC1A0}
BTV-5153,quercus-rubra,44.475931,-73.202462,central,7,good,,411 Main St,2014-04-10,{48F61B6F-E498-4EE6-89DD-D0D8CFF7857E}
BTV-5154,celtis-occidentalis,44.475804,-73.202453,central,4,good,,411 Main St,2014-04-10,{C2BFA6FB-6423-465E-AF75-ECDB605EC857}
BTV-5155,quercus-rubra,44.475688,-73.202443,central,8,good,,411 Main St,2014-04-10,{59B2857D-E227-4E2C-964D-A71B532C1917}
BTV-5156,quercus-rubra,44.475596,-73.202439,central,6,fair,,411 Main St,2014-04-10,{08DC8619-9FD5-46FA-BC16-CACD3C6E8939}
BTV-5157,quercus-rubra,44.475437,-73.202428,central,40,poor,,411 Main St,2014-04-10,{5E2064A0-46A2-42FB-AFAB-368A10EC7EE3}
BTV-5158,quercus-rubra,44.475313,-73.202418,central,6,good,,411 Main St,2014-04-10,{BE60093E-0E25-4092-9B3A-4A3C85AAC51E}
BTV-5159,quercus-rubra,44.475228,-73.202413,central,7,good,,411 Main St,2014-04-10,{B103AEBA-72EE-4013-BCCC-73E2FD0D47E7}
BTV-5160,celtis-occidentalis,44.475140,-73.202406,central,4,good,,411 Main St,2014-04-10,{57181505-EB7F-4012-B4FF-C93CE15573FD}
BTV-5161,quercus-rubra,44.475006,-73.202400,central,12,good,,411 Summit St,2014-04-10,{87BD0824-322B-4CDE-85FA-5C50809728FF}
BTV-5162,quercus-rubra,44.474921,-73.202405,central,11,fair,,61 Summit St,2014-04-10,{0DFA907D-34EA-46A7-9BE1-50B86418534A}
BTV-5163,gleditsia-triacanthos,44.474805,-73.202387,central,2,good,2025,61 Summit St,2022-06-28,{D236FC50-5CC4-44FB-861C-8DEB3B65802F}
BTV-5164,acer-x-freemanii,44.474661,-73.202370,central,2,good,2021,61 Summit St,2021-11-23,{7F7723A9-D4C6-4BB1-83B1-CAA6685391C1}
BTV-5166,quercus-rubra,44.474523,-73.202359,central,5,fair,,61 Summit St,2014-04-10,{2819C5A0-53AC-4B98-9D5D-E33A2ED02415}
BTV-5167,acer-platanoides,44.474463,-73.202355,central,12,fair,,61 Summit St,2014-04-10,{E492C156-B6F9-47D0-B422-DB986233B5F2}
BTV-5168,celtis-occidentalis,44.474402,-73.202351,central,4,fair,,61 Summit St,2014-04-10,{9F5F3C3A-9541-4EE2-9981-6D8887C18E27}
BTV-5171,celtis-occidentalis,44.474188,-73.202335,central,6,fair,,61 Summit St,2014-04-10,{124C978C-2D92-4811-82DB-1485902D3550}
BTV-5286,tilia-tomentosa,44.476366,-73.202709,central,19,fair,,146 South Williams St,2023-10-10,{79F359CF-B410-40A1-979F-0A02D16D0801}
BTV-5287,tilia-tomentosa,44.476372,-73.202603,central,11,good,,146 South Williams St,2023-10-10,{DA53AD3B-1E59-4AFF-BD67-699898A284FE}
BTV-5288,tilia-tomentosa,44.476372,-73.202509,central,11,good,,146 South Williams St,2023-10-10,{FB97EE86-35FD-4D9D-919E-EBFE55E9A0D4}
BTV-5289,tilia-tomentosa,44.476379,-73.202261,central,11,fair,,442 Main St,2023-10-10,{98B4BB66-9EA4-476D-996B-274D0648447E}
BTV-5290,tilia-tomentosa,44.476379,-73.202175,central,13,fair,,442 Main St,2023-10-10,{80906DA5-2AC1-4D8F-8007-A70F498F8789}
BTV-5291,tilia-tomentosa,44.476388,-73.202060,central,11,fair,,442 Main St,2018-12-07,{B53D5DC7-4D9F-4118-8971-88968761EA9C}
BTV-5292,tilia-tomentosa,44.476390,-73.201961,central,13,fair,,442 Main St,2023-10-10,{58E0144F-29B4-4F10-B706-670F884CB828}
BTV-5293,tilia-tomentosa,44.476397,-73.201836,central,13,fair,,442 Main St,2023-10-10,{61A0A090-3147-4701-9EC0-4254461CE46A}
BTV-5294,quercus-rubra,44.476400,-73.201667,central,26,poor,,442 Main St,2018-12-07,{D948796E-860D-47D6-ADEF-52AD03F468BF}
BTV-5295,quercus-rubra,44.476405,-73.201543,central,27,fair,,442 Main St,2018-12-07,{C54BE116-4654-4170-A72A-50A6657950EB}
BTV-5296,tilia-tomentosa,44.476407,-73.201407,central,9,fair,,442 Main St,2018-12-07,{2E10416C-53CD-4935-BE72-C6BB9F51B0C2}
BTV-5297,tilia-tomentosa,44.476410,-73.201297,central,12,fair,,442 Main St,2018-12-07,{868CEFD8-6D23-4F09-A237-D0DB66D8F7AD}
BTV-5298,tilia-tomentosa,44.476415,-73.201192,central,13,fair,,442 Main St,2018-12-07,{734A2BE9-A595-451A-BB81-91691D7B217C}
BTV-5299,fraxinus-pennsylvanica,44.476420,-73.200932,central,15,fair,,442 Main St,2018-12-07,{BE1A27F0-FDE6-45C7-A88E-D623CD9E2DCE}
BTV-5301,tilia-tomentosa,44.476253,-73.201330,central,13,fair,,447 Main St,2014-04-11,{5CB19E21-9E03-469D-9AA4-BCF6A7023164}
BTV-5302,acer-x-freemanii-autumn-blaze,44.476243,-73.201506,central,9,fair,,447 Main St,2014-07-16,{5B00A302-684E-42A2-B062-2C68F604891C}
BTV-5303,ulmus-sp,44.476238,-73.201620,central,4,good,2015,437 Main St,2019-03-28,{5C3F2B6E-791B-43A7-90A7-104E344173D3}
BTV-5304,tilia-tomentosa,44.476233,-73.201784,central,12,fair,,437 Main St,2014-07-16,{487AB61E-D145-4249-846E-2176BB22EEB5}
BTV-5305,tilia-tomentosa,44.476227,-73.201991,central,12,fair,,421 Main St,2014-07-16,{184AEA78-EC09-4B61-8F61-B14777050428}
BTV-5306,tilia-tomentosa,44.476221,-73.202122,central,10,fair,,421 Main St,2014-07-16,{16FDAB73-6674-4B2D-9BA5-B069C0B4C24C}
BTV-5307,tilia-tomentosa,44.476220,-73.202247,central,10,fair,,421 Main St,2014-07-16,{C2600757-DB66-47CD-95CE-112CDF70B2EC}
BTV-5308,tilia-tomentosa,44.476196,-73.202622,central,13,fair,,411 Main St,2014-04-11,{D1AED8A3-B74F-4CCA-AF73-9BF1C19AB639}
BTV-5309,tilia-tomentosa,44.476196,-73.202740,central,12,fair,,411 Main St,2014-04-11,{D92C7C3C-FB1F-4815-ABF8-10083B62056D}
BTV-5310,acer-x-freemanii-autumn-blaze,44.476188,-73.202856,central,9,fair,,411 Main St,2014-07-16,{A5F3F5F2-BA3B-4D6E-A339-F26B8EFB7F1B}
BTV-5311,acer-rubrum,44.476172,-73.203067,central,10,fair,,411 Main St,2014-04-11,{819E429B-6E2E-46A5-A10B-D51E8BEBEBC6}
BTV-5312,tilia-tomentosa,44.476172,-73.203176,central,18,fair,,411 Main St,2021-06-03,{740B7124-AA08-4D41-8EAC-5581CB2F072D}
BTV-5313,robinia-pseudoacacia,44.476179,-73.203325,central,31,poor,,411 Main St,2014-07-16,{FA664431-6A6E-468A-B81E-22A9BC73C826}
BTV-5340,ulmus-americana-princeton,44.476115,-73.197956,central,6,fair,,590 Main St,2014-04-15,{C971B3DE-F252-48DA-B3BF-D540BFBFF124}
BTV-5341,ulmus-americana-princeton,44.476055,-73.197812,central,6,poor,,590 Main St,2014-04-15,{39D01DC2-8000-439A-8795-07E80E6D96F5}
BTV-5342,ulmus-americana-princeton,44.476001,-73.197691,central,7,poor,,590 Main St,2018-12-03,{54C56207-CF8F-43B7-BB62-E96B88E1E71A}
BTV-5343,ulmus-americana-princeton,44.475950,-73.197574,central,7,poor,,590 Main St,2018-12-03,{A5A4A38C-8D8E-4512-99AB-E67F896F5CC1}
BTV-5344,ulmus-americana-princeton,44.475893,-73.197448,central,8,poor,,590 Main St,2014-04-15,{48228758-CCDE-454B-B2F9-7E46089AAFE1}
BTV-5345,ulmus-americana-princeton,44.475840,-73.197331,central,7,poor,,590 Main St,2014-04-15,{28609B63-04D9-4C51-8518-BFBB13C9AF53}
BTV-5346,ulmus-americana-princeton,44.475787,-73.197214,central,7,poor,,590 Main St,2018-12-03,{CF9B1319-28E3-4FE4-9DA2-8A53E433415F}
BTV-5347,ulmus-americana-princeton,44.475737,-73.197097,central,7,poor,,590 Main St,2018-12-03,{46993E46-3653-476C-A20F-B1FE44FEC822}
BTV-5348,ulmus-americana-princeton,44.475687,-73.196986,central,6,fair,,590 Main St,2014-04-15,{702F0848-634A-43B8-9F54-F7C5A90E8A24}
BTV-5349,ulmus-americana-princeton,44.475640,-73.196879,central,6,fair,,590 Main St,2014-04-15,{15C42A68-89E2-45D8-86D1-F57A5B8C3945}
BTV-5350,ulmus-americana-princeton,44.475424,-73.196404,central,6,fair,,590 Main St,2014-04-15,{B4CA0C17-DDA4-4D7A-9D50-3E3F62B11CA7}
BTV-5351,celtis-occidentalis,44.475371,-73.196287,central,5,poor,,590 Main St,2014-04-15,{0AF1A744-2897-4E15-8491-D17F8C922379}
BTV-5352,ulmus-americana-princeton,44.475321,-73.196174,central,6,fair,,590 Main St,2014-04-15,{C06F331C-2082-4B30-8226-E2032639DADE}
BTV-5353,ulmus-americana-princeton,44.475274,-73.196063,central,6,fair,,590 Main St,2014-04-15,{5820E5EB-B147-4F4B-A0AC-56CCE801E093}
BTV-5354,ulmus-americana-princeton,44.475221,-73.195952,central,6,fair,,590 Main St,2014-04-15,{9305FFF7-0219-4026-9052-CD4C72928DFB}
BTV-5355,ulmus-americana-princeton,44.475170,-73.195835,central,6,fair,,590 Main St,2014-04-15,{EE6C4517-2D36-49C0-8099-7C4E0E1C9C06}
BTV-5356,ulmus-americana-princeton,44.475128,-73.195739,central,6,fair,,590 Main St,2014-04-15,{2BCCD564-523C-4044-9D4D-C4E43D197E64}
BTV-5357,ulmus-americana-princeton,44.475072,-73.195618,central,6,fair,,590 Main St,2014-04-15,{7BB98238-CE79-41B4-A288-B71DFC1751C4}
BTV-5358,ulmus-americana-princeton,44.475022,-73.195507,central,5,good,,590 Main St,2014-04-15,{68308941-EF80-43EA-9C76-CA2EFC4176B3}
BTV-5359,ulmus-americana-princeton,44.474969,-73.195383,central,5,fair,,590 Main St,2014-04-15,{ADAC6851-8FCB-48E0-9F8F-A8B3864116E5}
BTV-5360,ulmus-americana-princeton,44.474761,-73.195405,athletic,7,poor,,617 Main St,2018-12-07,{E4027167-0FF0-40FE-A95F-09A9CDEA6BFD}
BTV-5361,ulmus-americana-princeton,44.474812,-73.195515,athletic,7,good,,617 Main St,2018-12-07,{E20DA551-A6DA-474C-B540-CA2A85B027BD}
BTV-5362,celtis-occidentalis,44.474866,-73.195639,athletic,6,good,,601 Main St,2018-12-07,{5D6CB6B1-5B66-4A7B-9513-ACD53C68CAFA}
BTV-5364,ulmus-americana-princeton,44.474974,-73.195856,athletic,6,fair,,601 Main St,2018-12-07,{20886BEF-5D6C-4E74-98D6-B7676F84864D}
BTV-5365,ulmus-americana-princeton,44.475029,-73.195973,athletic,6,poor,,601 Main St,2018-12-07,{922B21AC-1DDA-4017-A80B-5FDD37BBD861}
BTV-5366,ulmus-americana-princeton,44.475077,-73.196077,athletic,6,fair,,601 Main St,2018-12-07,{C1F6AFFB-E798-43B0-8138-54F1CE6BE9E4}
BTV-5367,ulmus-americana-princeton,44.475126,-73.196189,athletic,5,fair,,589 Main St,2018-12-07,{00417C68-29A0-4115-B668-82C2266A1331}
BTV-5368,ulmus-americana-princeton,44.475176,-73.196298,athletic,5,good,,589 Main St,2018-12-07,{4BBCDC2C-AA5C-47A1-A096-85E719822956}
BTV-5369,tilia-tomentosa,44.474480,-73.194846,athletic,12,fair,,Main St,2018-12-07,{BA50885F-EB6C-49CC-9569-AC63BFC0C39A}
BTV-5370,celtis-occidentalis,44.474267,-73.194322,athletic,6,good,,Main St,2018-12-07,{5D4F94BB-DE7D-406F-8ECD-AB577D5591E6}
BTV-5371,celtis-occidentalis,44.474211,-73.194198,athletic,6,good,,Main St,2018-12-07,{A537D9FA-53A0-4899-87D2-9703A46F34B5}
BTV-5372,celtis-occidentalis,44.474154,-73.194071,athletic,7,good,,Main St,2018-12-07,{E8AC7A54-BE7B-4B32-AAD2-E6F9B8B50CA2}
BTV-5373,celtis-occidentalis,44.474108,-73.193966,athletic,5,good,,Main St,2018-12-07,{211C68F5-2948-4CE1-98E9-C9EE3466A346}
BTV-5374,celtis-occidentalis,44.474056,-73.193856,athletic,5,good,,Main St,2018-12-07,{A3B86E93-B5A0-4E24-B2E4-C178098D5B98}
BTV-5375,celtis-occidentalis,44.474004,-73.193734,athletic,7,poor,,Main St,2019-06-04,{FA869539-CBEF-40C5-BF5C-36E9B72977E8}
BTV-5376,celtis-occidentalis,44.473949,-73.193620,athletic,6,good,,Main St,2018-12-07,{598E3B50-3E92-4858-A8ED-28F26B8AEDA7}
BTV-5377,celtis-occidentalis,44.473900,-73.193506,athletic,6,fair,,Main St,2019-06-04,{675DEA2C-434F-4DEC-B9D9-928B25A00801}
BTV-5378,celtis-occidentalis,44.473843,-73.193381,athletic,7,fair,,Main St,2019-06-04,{7076F7F7-3237-4F51-9732-33696B5FE26C}
BTV-5379,celtis-occidentalis,44.473795,-73.193274,athletic,6,good,,Main St,2018-12-07,{A52C3902-E3FD-4D77-B03E-3245F5DB42E4}
BTV-5380,celtis-occidentalis,44.473742,-73.193160,athletic,6,fair,,Main St,2018-12-07,{5FA1742F-7D5E-4D7F-A0D3-DBFDA0E20F37}
BTV-5381,celtis-occidentalis,44.473693,-73.193058,athletic,7,fair,,Main St,2019-06-04,{5AE8571B-9B59-46BE-BE79-92FB17784EA5}
BTV-5382,celtis-occidentalis,44.473640,-73.192938,athletic,9,poor,,Main St,2019-06-04,{C83260C1-EDE6-4825-9148-81C52C94196C}
BTV-5383,celtis-occidentalis,44.473590,-73.192833,athletic,6,fair,,Main St,2019-06-04,{D7052C6B-1F78-4D60-8742-26044F6C2E2B}
BTV-5384,celtis-occidentalis,44.473537,-73.192716,athletic,6,poor,,Main St,2019-06-04,{27364DF9-3E21-4CDF-BC0F-EDB82423CEF2}
BTV-5385,celtis-occidentalis,44.473485,-73.192609,athletic,7,poor,,Main St,2018-12-07,{873C5F22-8CF2-4B53-944B-3862FC580350}
BTV-5386,celtis-occidentalis,44.473435,-73.192502,athletic,6,good,,Main St,2019-06-04,{98EE8143-418E-4143-BF94-9359D11BC1AB}
BTV-5387,celtis-occidentalis,44.473378,-73.192377,athletic,5,good,,Main St,2019-06-04,{3F6B756A-4D50-4454-895D-20043D68D8FC}
BTV-5388,celtis-occidentalis,44.473327,-73.192270,athletic,6,fair,,Main St,2018-12-07,{35FCEF0E-5940-4929-8213-932AD5992CD3}
BTV-5389,celtis-occidentalis,44.473277,-73.192161,athletic,5,good,,Main St,2018-12-07,{8215997E-92C4-44FC-8D89-C93BC1F01BC2}
BTV-5390,celtis-occidentalis,44.472850,-73.191222,athletic,6,fair,,Main St,2014-04-15,{94DA62CB-1FD8-4B6E-A8ED-A99DA1DB3637}
BTV-5391,celtis-occidentalis,44.472803,-73.191116,athletic,6,good,,Main St,2014-04-15,{111F261F-D4AE-4DCA-9E3D-8CF8DBCD4F9B}
BTV-5392,celtis-occidentalis,44.472761,-73.191023,athletic,7,good,,Main St,2014-04-15,{9C2C2F40-5D1D-45A8-AD48-106B39ABE02F}
BTV-5394,celtis-occidentalis,44.472671,-73.190823,athletic,7,fair,,Main St,2014-04-15,{277533DA-AE32-4221-B016-F3B28718548D}
BTV-5395,celtis-occidentalis,44.472627,-73.190722,athletic,4,poor,,Main St,2014-04-15,{97CB3254-25FC-4446-9BA6-8919678A3F57}
BTV-5396,celtis-occidentalis,44.472586,-73.190641,athletic,4,fair,,Main St,2014-04-15,{E3C5EDD5-D014-4B5E-84A8-FD763E555329}
BTV-5397,celtis-occidentalis,44.472541,-73.190541,athletic,7,good,,Main St,2014-04-15,{9041D799-4943-4BE2-A879-DFFF92E8D41A}
BTV-5398,celtis-occidentalis,44.472799,-73.190579,central,7,poor,,Main St,2014-04-15,{8DF444CF-8398-4B86-B4B4-A915FB72F672}
BTV-5399,celtis-occidentalis,44.472847,-73.190675,central,7,good,,Main St,2014-04-15,{03B05913-05E5-4E88-91CD-FD9A153E1A4D}
BTV-5400,celtis-occidentalis,44.472895,-73.190775,central,6,poor,,Main St,2014-04-15,{DFA1E7F4-288B-4301-A3F1-97C4EF30A40C}
BTV-5401,celtis-occidentalis,44.472937,-73.190857,central,6,fair,,Main St,2014-04-15,{379ADC32-A72F-4BE2-93EB-D3A6C14F9CAE}
BTV-5402,celtis-occidentalis,44.472985,-73.190949,central,7,good,,Main St,2014-04-15,{1F074B8D-7D48-437A-9798-DD242CC7E51E}
BTV-5403,celtis-occidentalis,44.473038,-73.191048,central,6,good,,Main St,2014-04-15,{DDF5C3E7-173D-41B6-BB4A-84B77AA3C839}
BTV-5404,celtis-occidentalis,44.473566,-73.192214,central,8,fair,,Main St,2014-04-15,{380CC399-C773-4451-A7D3-F5860C9C1506}
BTV-5405,celtis-occidentalis,44.473618,-73.192329,central,8,good,,Main St,2014-04-15,{22F39424-6595-4CD3-8C08-38FBA65EE7C1}
BTV-5406,celtis-occidentalis,44.473667,-73.192439,central,7,good,,Main St,2014-04-15,{0568A27E-6661-4E37-9AF9-16085E9E60F3}
BTV-5407,celtis-occidentalis,44.473717,-73.192553,central,7,good,,Main St,2014-04-15,{F5B8836A-AE90-4881-B7B8-9250969CF166}
BTV-5408,celtis-occidentalis,44.473774,-73.192681,central,7,good,,Main St,2014-04-15,{8F341E12-6A83-43BF-8F3E-2CDAD027AC59}
BTV-5409,celtis-occidentalis,44.473829,-73.192802,central,6,good,,Main St,2014-04-15,{BD05E5C4-A9E0-4034-B384-BF108CE33235}
BTV-5410,celtis-occidentalis,44.473876,-73.192901,central,6,good,,Main St,2014-04-15,{CCF3086F-67C8-453B-9282-6675CA1E565B}
BTV-5411,celtis-occidentalis,44.473928,-73.193020,central,6,fair,,Main St,2014-04-15,{EA494AB7-83DC-42E4-9851-B28DC80B7265}
BTV-5412,celtis-occidentalis,44.473977,-73.193130,central,6,fair,,Main St,2014-04-15,{0CA34126-4C65-4FC7-B95C-FC09781F05DB}
BTV-5413,celtis-occidentalis,44.474028,-73.193251,central,6,fair,,Main St,2014-04-15,{2CA390D2-8405-4265-83BD-1E07408691C7}
