Tree,Common_Name,Botanical,DBH,Age_Class,Condition
107,Elm,Ulmus sp,9,Semi-mature,Fair
109,Ash-Green,Fraxinus pennsylvanica,31,Mature,Fair
110,Oak-Pin,Quercus palustris,18,Semi-mature,Good
111,Oak-Pin,Quercus palustris,18,Semi-mature,Good
112,Pine-Scotch,Pinus sylvestris,15,Semi-mature,Fair
113,Oak- Northern Red,Quercus rubra,14,Semi-mature,Fair
115,Horsechestnut-Common,Aesculus hippocastanum,13,Semi-mature,Good
116,Crabapple,Malus sp,4,Young,Good
117,Crabapple,Malus sp,8,Young,Good
118,Pine-Scotch,Pinus sylvestris,17,Semi-mature,Fair
119,Pine-Scotch,Pinus sylvestris,16,Semi-mature,Good
120,Horsechestnut-Common,Aesculus hippocastanum,11,Semi-mature,Good
121,Oak-Pin,Quercus palustris,18,Semi-mature,Poor
122,Oak-Pin,Quercus palustris,23,Semi-mature,Fair
123,Oak-Pin,Quercus palustris,23,Semi-mature,Fair
124,Ash-Green,Fraxinus pennsylvanica,15,Semi-mature,Fair
125,Maple-Sugar,Acer saccharum,3,New planting,Poor
126,Spruce-Norway,Picea abies,19,Semi-mature,Fair
127,Oak-Pin,Quercus palustris,24,Mature,Poor
128,Oak-Pin,Quercus palustris,25,Mature,Fair
129,Oak-Pin,Quercus palustris,23,Mature,Fair
130,Spruce-Colorado Blue,Picea pungens,14,Semi-mature,Fair
131,Spruce-Colorado Blue,Picea pungens,17,Semi-mature,Fair
132,Pine-Austrian,Pinus nigra,9,Young,Good
133,Crabapple,Malus sp,6,Young,Good
134,Crabapple,Malus sp,8,Semi-mature,Fair
135,Crabapple,Malus sp,9,Semi-mature,Fair
136,Crabapple,Malus sp,6,Semi-mature,Fair
138,Maple-Sugar,Acer saccharum,18,Semi-mature,Good
139,Oak-Pin,Quercus palustris,18,Semi-mature,Good
140,Horsechestnut-Common,Aesculus hippocastanum,16,Semi-mature,Good
141,Spruce-White,Picea glauca,12,Semi-mature,Fair
142,Spruce-Norway,Picea abies,22,Mature,Good
143,Fir-Douglas,Pseudotsuga menziesii,11,Semi-mature,Fair
144,Spruce-Norway,Picea abies,28,Mature,Good
145,Spruce-White,Picea glauca,12,Semi-mature,Good
146,Spruce-White,Picea glauca,10,Semi-mature,Fair
147,Spruce-Colorado Blue,Picea pungens,12,Semi-mature,Fair
148,Spruce-Colorado Blue,Picea pungens,19,Mature,Fair
149,Mountain Ash-European,Sorbus aucuparia,4,Young,Poor
150,Spruce-Norway,Picea abies,23,Mature,Fair
151,Oak- Northern Red,Quercus rubra,21,Mature,Poor
152,Beech-American,Fagus grandifolia,17,Semi-mature,Poor
154,Spruce-White,Picea glauca,20,Semi-mature,Poor
155,Maple-Silver,Acer saccharinum,29,Mature,Poor
156,Ash-Green,Fraxinus pennsylvanica,11,Semi-mature,Fair
157,Ash-Green,Fraxinus pennsylvanica,9,Semi-mature,Fair
158,Ash-Green,Fraxinus pennsylvanica,8,Semi-mature,Fair
159,Ash-Green,Fraxinus pennsylvanica,8,Semi-mature,Fair
160,Ash-Green,Fraxinus pennsylvanica,9,Semi-mature,Good
161,Ash-Green,Fraxinus pennsylvanica,9,Semi-mature,Good
162,Ash-Green,Fraxinus pennsylvanica,9,Semi-mature,Good
163,Ash-Green,Fraxinus pennsylvanica,9,Semi-mature,Fair
165,Pine-Austrian,Pinus nigra,15,Mature,Fair
166,Pine-Austrian,Pinus nigra,9,Semi-mature,Fair
167,Maple-Sugar,Acer saccharum,14,Semi-mature,Fair
168,Arborvitae-Eastern,Thuja occidentalis,12,Mature,Fair
169,Oak- Northern Red,Quercus rubra,27,Mature,Good
170,Birch-Yellow,Betula alleghaniensis,18,Mature,Good
171,Oak-English,Quercus robur,14,Mature,Good
173,Arborvitae-Eastern,Thuja occidentalis,19,Mature,Good
174,Arborvitae-Eastern,Thuja occidentalis,16,Mature,Fair
175,Crabapple,Malus sp,6,Mature,Good
176,Crabapple,Malus sp,13,Mature,Good
178,Oak-Pin,Quercus palustris,22,Mature,Good
179,Pine-Austrian,Pinus nigra,10,Semi-mature,Good
180,Crabapple,Malus sp,8,Mature,Good
181,Oak-Pin,Quercus palustris,16,Semi-mature,Fair
182,Oak- Northern Red,Quercus rubra,16,Semi-mature,Good
183,Oak- Northern Red,Quercus rubra,17,Semi-mature,Good
184,Maple-Norway,Acer platanoides,16,Mature,Fair
185,Pine-Eastern White,Pinus strobus,9,Mature,Good
186,Pine-Eastern White,Pinus strobus,7,Mature,Good
187,Pine-Eastern White,Pinus strobus,8,Mature,Good
188,Magnolia-Saucer,Magnolia x soulangiana,4,Mature,Good
189,Magnolia-Saucer,Magnolia x soulangiana,5,Mature,Good
190,Spruce-Colorado Blue,Picea pungens,18,Mature,Good
191,Spruce-Colorado Blue,Picea pungens,17,Mature,Good
192,Arborvitae-Eastern,Thuja occidentalis,13,Mature,Good
195,Maple-Sugar,Acer saccharum,28,Mature,Good
200,Maple-Sugar,Acer saccharum,28,Mature,Fair
202,Maple-Sugar,Acer saccharum,28,Mature,Good
203,Hemlock-Canadian,Tsuga canadensis,13,Semi-mature,Good
204,Hemlock-Canadian,Tsuga canadensis,13,Semi-mature,Good
205,Maple-Red,Acer rubrum,14,Semi-mature,Poor
206,Maple-Red,Acer rubrum,11,Semi-mature,Poor
207,Maple-Norway,Acer platanoides,11,Semi-mature,Fair
208,Ash-Green,Fraxinus pennsylvanica,16,Semi-mature,Fair
209,Oak-Pin,Quercus palustris,16,Semi-mature,Good
210,Crabapple,Malus sp,8,Mature,Good
211,Crabapple,Malus sp,7,Mature,Fair
212,Pine-Austrian,Pinus nigra,11,Semi-mature,Poor
213,Pine-Austrian,Pinus nigra,15,Semi-mature,Fair
214,Pine-Austrian,Pinus nigra,14,Semi-mature,Fair
215,Pine-Austrian,Pinus nigra,15,Semi-mature,Fair
216,Pine-Austrian,Pinus nigra,10,Semi-mature,Poor
217,Pine-Austrian,Pinus nigra,10,Semi-mature,Poor
218,Pine-Austrian,Pinus nigra,16,Semi-mature,Fair
220,Oak- Northern Red,Quercus rubra,11,Young,Good
221,Maple-Norway,Acer platanoides,14,Semi-mature,Fair
222,Maple-Norway,Acer platanoides,11,Semi-mature,Fair
223,Maple-Norway,Acer platanoides,14,Semi-mature,Fair
224,Oak-English,Quercus robur,22,Mature,Fair
225,Oak- Northern Red,Quercus rubra,13,Semi-mature,Fair
226,Maple-Silver,Acer saccharinum,15,Mature,Fair
227,Mountain Ash-Oakleaf,Sorbus x thuringiaca,8,Semi-mature,Fair
228,Oak- Northern Red,Quercus rubra,11,Semi-mature,Fair
229,Ginkgo,Ginkgo biloba,9,Semi-mature,Good
230,Oak- Northern Red,Quercus rubra,24,Mature,Good
231,Falsecypress-Nootka,Chamaecyparis nootkatensis,4,Young,Good
232,Oak- Northern Red,Quercus rubra,16,Mature,Fair
233,Spruce-White,Picea glauca,12,Semi-mature,Fair
234,Spruce-White,Picea glauca,17,Mature,Fair
235,Oak-Pin,Quercus palustris,19,Mature,Good
236,Maple-Norway,Acer platanoides,21,Mature,Fair
238,Maple-Norway,Acer platanoides,11,Semi-mature,Fair
239,Maple-Norway,Acer platanoides,8,Semi-mature,Poor
240,Crabapple,Malus sp,7,Mature,Fair
241,Crabapple,Malus sp,6,Mature,Fair
242,Crabapple,Malus sp,8,Mature,Fair
243,Crabapple,Malus sp,10,Mature,Fair
244,Crabapple,Malus sp,8,Mature,Poor
245,Maple-Norway,Acer platanoides,15,Mature,Fair
246,Pear-Callery,Pyrus calleryana,16,Mature,Fair
247,Maple-Norway,Acer platanoides,11,Semi-mature,Fair
248,Maple-Sugar,Acer saccharum,19,Mature,Fair
250,Maple-Sugar,Acer saccharum,17,Mature,Fair
251,Maple-Norway,Acer platanoides,13,Semi-mature,Fair
252,Crabapple,Malus sp,7,Mature,Fair
253,Crabapple,Malus sp,9,Mature,Fair
254,Hawthorn,Crataegus sp,4,Mature,Fair
255,Hawthorn,Crataegus sp,4,Mature,Fair
256,Maple-Norway,Acer platanoides,14,Semi-mature,Fair
257,Elm-American,Ulmus americana,9,Semi-mature,Fair
258,Maple-Red,Acer rubrum,11,Semi-mature,Fair
259,Elm-American,Ulmus americana,10,Semi-mature,Fair
260,Elm-American,Ulmus americana,9,Semi-mature,Fair
261,Oak-Pin,Quercus palustris,8,Semi-mature,Fair
262,Oak- Northern Red,Quercus rubra,8,Semi-mature,Fair
263,Oak-Pin,Quercus palustris,12,Semi-mature,Fair
264,Oak-Pin,Quercus palustris,8,Semi-mature,Fair
265,Oak-Pin,Quercus palustris,10,Semi-mature,Fair
266,Oak-Pin,Quercus palustris,9,Semi-mature,Fair
267,Oak-Pin,Quercus palustris,8,Semi-mature,Fair
268,Oak-Pin,Quercus palustris,10,Semi-mature,Fair
269,Oak-Pin,Quercus palustris,5,Young,Fair
270,Oak-Pin,Quercus palustris,10,Semi-mature,Fair
271,Oak-Pin,Quercus palustris,9,Semi-mature,Fair
272,Oak-Pin,Quercus palustris,11,Semi-mature,Poor
273,Tuliptree,Liriodendron tulipifera,11,Semi-mature,Fair
274,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Semi-mature,Fair
275,Birch-Paper,Betula papyrifera,10,Semi-mature,Fair
276,Maple-Norway,Acer platanoides,11,Semi-mature,Fair
277,Maple-Norway,Acer platanoides,9,Semi-mature,Fair
278,Maple-Norway,Acer platanoides,10,Semi-mature,Fair
279,Maple-Norway,Acer platanoides,9,Semi-mature,Fair
280,Maple-Red,Acer rubrum,18,Mature,Fair
281,Maple-Sugar,Acer saccharum,20,Mature,Poor
282,Ash-Green,Fraxinus pennsylvanica,24,Mature,Fair
283,Maple-Red,Acer rubrum,8,Semi-mature,Fair
284,Ash-Green,Fraxinus pennsylvanica,18,Mature,Fair
285,Honeylocust-Thornless Common,Gleditsia triacanthos,3,Young,Fair
286,Honeylocust-Thornless Common,Gleditsia triacanthos,3,Young,Fair
287,Oak-Pin,Quercus palustris,11,Semi-mature,Fair
288,Oak-Pin,Quercus palustris,9,Semi-mature,Fair
289,Oak-Pin,Quercus palustris,11,Semi-mature,Fair
290,Oak-Pin,Quercus palustris,10,Semi-mature,Fair
291,Oak-Pin,Quercus palustris,10,Semi-mature,Fair
292,Oak-Pin,Quercus palustris,10,Semi-mature,Fair
293,Oak-Pin,Quercus palustris,10,Semi-mature,Fair
294,Maple-Norway,Acer platanoides,14,Semi-mature,Fair
295,Maple-Norway,Acer platanoides,9,Semi-mature,Fair
296,Maple-Norway,Acer platanoides,11,Semi-mature,Fair
297,Maple-Norway,Acer platanoides,14,Semi-mature,Fair
298,Maple-Norway,Acer platanoides,14,Semi-mature,Fair
299,Maple-Norway,Acer platanoides,12,Semi-mature,Fair
300,Maple-Norway,Acer platanoides,14,Semi-mature,Fair
301,Maple-Norway,Acer platanoides,13,Semi-mature,Fair
304,Ginkgo,Ginkgo biloba,22,Mature,Fair
305,Ginkgo,Ginkgo biloba,21,Mature,Fair
306,Ginkgo,Ginkgo biloba,7,Young,Good
307,Spruce-Norway,Picea abies,27,Mature,Good
308,Spruce-Norway,Picea abies,28,Mature,Good
309,Crabapple,Malus sp,10,Mature,Fair
310,Crabapple,Malus sp,5,Mature,Fair
311,Oak-Pin,Quercus palustris,16,Mature,Fair
312,Crabapple,Malus sp,7,Mature,Fair
313,Maple-Sugar,Acer saccharum,23,Mature,Fair
314,Maple-Sugar,Acer saccharum,26,Mature,Fair
316,Crabapple,Malus sp,10,Mature,Fair
317,Crabapple,Malus sp,12,Mature,Fair
318,Ginkgo,Ginkgo biloba,2,Young,Poor
319,Ginkgo,Ginkgo biloba,4,Young,Fair
320,Ginkgo,Ginkgo biloba,2,Young,Fair
321,Ginkgo,Ginkgo biloba,2,Young,Fair
322,Ginkgo,Ginkgo biloba,3,Young,Fair
323,Ginkgo,Ginkgo biloba,3,Young,Fair
324,Honeylocust-Thornless Common,Gleditsia triacanthos,4,Young,Fair
325,Honeylocust-Thornless Common,Gleditsia triacanthos,2,Young,Fair
326,Pine-Red,Pinus resinosa,10,Young,Fair
327,Pine-Red,Pinus resinosa,13,Semi-mature,Fair
328,Spruce-White,Picea glauca,8,Semi-mature,Fair
329,Maple-Red,Acer rubrum,3,Young,Poor
338,Oak- Northern Red,Quercus rubra,17,Mature,Fair
340,Elm,Ulmus sp,5,Young,Fair
341,Honeylocust-Thornless Common,Gleditsia triacanthos,3,Young,Fair
342,Oak-White,Quercus alba,16,Mature,Poor
343,Oak-Bur,Quercus macrocarpa,25,Mature,Fair
345,Honeylocust-Thornless Common,Gleditsia triacanthos,3,Young,Fair
346,Honeylocust-Thornless Common,Gleditsia triacanthos,3,Young,Fair
347,Oak-English,Quercus robur,3,Young,Fair
348,Oak-English,Quercus robur,3,Young,Fair
349,Oak-Bur,Quercus macrocarpa,19,Mature,Fair
350,Coffeetree-Kentucky,Gymnocladus dioicus,17,Mature,Fair
351,Oak-Shingle,Quercus imbricaria,30,Mature,Fair
352,Maple-Hedge,Acer campestre,16,Mature,Fair
353,Hawthorn,Crataegus sp,9,Mature,Fair
354,Hawthorn,Crataegus sp,9,Mature,Fair
355,Hawthorn,Crataegus sp,12,Mature,Fair
356,Hawthorn,Crataegus sp,7,Mature,Fair
357,Hawthorn,Crataegus sp,7,Mature,Fair
358,Hawthorn,Crataegus sp,8,Mature,Fair
359,Hawthorn,Crataegus sp,8,Mature,Fair
360,Oak-Chinkapin,Quercus muehlenbergii,6,Young,Fair
361,Oak - Scarlet,Quercus coccinea,8,Semi-mature,Fair
362,Linden-Silver,Tilia tomentosa,14,Semi-mature,Fair
363,Coffeetree-Kentucky,Gymnocladus dioicus,12,Semi-mature,Fair
364,Oak-Pin,Quercus palustris,18,Mature,Fair
365,Oak-White,Quercus alba,20,Mature,Fair
366,Oak-White,Quercus alba,15,Mature,Fair
367,Crabapple,Malus sp,8,Mature,Fair
368,Crabapple,Malus sp,9,Mature,Fair
369,Crabapple,Malus sp,8,Mature,Fair
370,Hackberry,Celtis occidentalis,16,Mature,Fair
371,Coffeetree-Kentucky,Gymnocladus dioicus,4,Young,Fair
372,Crabapple,Malus sp,5,Mature,Fair
373,Maple-Norway,Acer platanoides,7,Young,Poor
374,Crabapple,Malus sp,3,Semi-mature,Fair
376,Cherry-Flowering,Prunus serrulata,6,Semi-mature,Fair
377,Cherry-Flowering,Prunus serrulata,7,Semi-mature,Fair
378,Cherry-Flowering,Prunus serrulata,6,Semi-mature,Fair
379,Cherry-Flowering,Prunus serrulata,8,Semi-mature,Fair
380,Oak- Northern Red,Quercus rubra,13,Semi-mature,Fair
381,Birch-River,Betula nigra,2,Young,Poor
382,Birch-River,Betula nigra,2,Young,Fair
383,Birch-River,Betula nigra,2,Young,Fair
384,Birch-River,Betula nigra,3,Young,Fair
385,Birch-River,Betula nigra,2,Young,Fair
386,Birch-River,Betula nigra,2,Young,Fair
387,Birch-River,Betula nigra,3,Young,Fair
388,Birch-River,Betula nigra,3,Young,Fair
389,Birch-River,Betula nigra,2,Young,Fair
390,Birch-River,Betula nigra,2,Young,Fair
391,Birch-River,Betula nigra,3,Young,Fair
392,Birch-River,Betula nigra,4,Young,Fair
393,Crabapple,Malus sp,4,Semi-mature,Fair
394,Maple-Norway,Acer platanoides,7,Semi-mature,Fair
395,Maple-Red,Acer rubrum,3,Young,Poor
396,Maple-Red,Acer rubrum,3,Young,Fair
397,Maple-Red,Acer rubrum,4,Young,Fair
398,Maple-Red,Acer rubrum,4,Young,Fair
399,Maple-Red,Acer rubrum,4,Young,Fair
400,Honeylocust-Thornless Common,Gleditsia triacanthos,9,Semi-mature,Fair
401,Crabapple,Malus sp,5,Semi-mature,Fair
402,Beech-European,Fagus sylvatica,5,Young,Fair
409,Maple-Norway,Acer platanoides,18,Mature,Fair
410,Crabapple,Malus sp,8,Mature,Fair
411,Birch-Sweet,Betula lenta,13,Semi-mature,Fair
412,Crabapple,Malus sp,4,Mature,Fair
414,Oak-Pin,Quercus palustris,10,Semi-mature,Fair
415,Maple-Sugar,Acer saccharum,21,Mature,Fair
416,Maple-Silver,Acer saccharinum,14,Semi-mature,Fair
417,Maple-Sugar,Acer saccharum,17,Mature,Fair
418,Maple-Sugar,Acer saccharum,11,Semi-mature,Poor
419,Maple-Sugar,Acer saccharum,11,Semi-mature,Poor
420,Maple-Norway,Acer platanoides,13,Semi-mature,Fair
421,Maple-Norway,Acer platanoides,13,Semi-mature,Fair
422,Maple-Norway,Acer platanoides,12,Semi-mature,Fair
423,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Mature,Fair
424,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
425,Honeylocust-Thornless Common,Gleditsia triacanthos,15,Mature,Fair
426,Honeylocust-Thornless Common,Gleditsia triacanthos,16,Mature,Fair
427,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
428,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
429,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Mature,Fair
430,Honeylocust-Thornless Common,Gleditsia triacanthos,18,Mature,Fair
431,Honeylocust-Thornless Common,Gleditsia triacanthos,21,Mature,Fair
432,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
433,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
434,Honeylocust-Thornless Common,Gleditsia triacanthos,11,Mature,Fair
435,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
436,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Mature,Fair
437,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
438,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
439,Honeylocust-Thornless Common,Gleditsia triacanthos,17,Mature,Fair
440,Honeylocust-Thornless Common,Gleditsia triacanthos,11,Mature,Fair
441,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
442,Honeylocust-Thornless Common,Gleditsia triacanthos,16,Mature,Fair
443,Honeylocust-Thornless Common,Gleditsia triacanthos,20,Mature,Fair
444,Honeylocust-Thornless Common,Gleditsia triacanthos,15,Mature,Fair
445,Honeylocust-Thornless Common,Gleditsia triacanthos,15,Mature,Fair
446,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
447,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
448,Honeylocust-Thornless Common,Gleditsia triacanthos,15,Mature,Fair
449,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
450,Honeylocust-Thornless Common,Gleditsia triacanthos,11,Mature,Fair
451,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
452,Honeylocust-Thornless Common,Gleditsia triacanthos,15,Mature,Fair
453,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
454,Honeylocust-Thornless Common,Gleditsia triacanthos,16,Mature,Fair
455,Honeylocust-Thornless Common,Gleditsia triacanthos,11,Mature,Fair
456,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
457,Honeylocust-Thornless Common,Gleditsia triacanthos,15,Mature,Fair
458,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
459,Honeylocust-Thornless Common,Gleditsia triacanthos,11,Mature,Fair
460,Honeylocust-Thornless Common,Gleditsia triacanthos,10,Mature,Fair
461,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
462,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Mature,Fair
463,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
464,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Mature,Fair
465,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Mature,Fair
466,Honeylocust-Thornless Common,Gleditsia triacanthos,12,Mature,Fair
467,Honeylocust-Thornless Common,Gleditsia triacanthos,20,Mature,Fair
468,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Mature,Fair
469,Honeylocust-Thornless Common,Gleditsia triacanthos,15,Mature,Fair
470,Honeylocust-Thornless Common,Gleditsia triacanthos,11,Mature,Fair
471,Honeylocust-Thornless Common,Gleditsia triacanthos,10,Mature,Fair
472,Honeylocust-Thornless Common,Gleditsia triacanthos,20,Mature,Fair
473,Honeylocust-Thornless Common,Gleditsia triacanthos,17,Mature,Fair
474,Honeylocust-Thornless Common,Gleditsia triacanthos,17,Mature,Fair
475,Honeylocust-Thornless Common,Gleditsia triacanthos,17,Mature,Fair
476,Honeylocust-Thornless Common,Gleditsia triacanthos,17,Mature,Fair
477,Honeylocust-Thornless Common,Gleditsia triacanthos,21,Mature,Fair
478,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Mature,Fair
479,Crimson King Maple,Acer platanoides,9,Semi-mature,Fair
480,Maple-Red,Acer rubrum,9,Semi-mature,Poor
481,Maple-Norway,Acer platanoides,10,Semi-mature,Fair
482,Tuliptree,Liriodendron tulipifera,10,Semi-mature,Fair
483,Maple-Norway,Acer platanoides,10,Semi-mature,Fair
484,Birch-Paper,Betula papyrifera,10,Semi-mature,Fair
485,Linden-Littleleaf,Tilia cordata,9,Semi-mature,Fair
486,Linden-Littleleaf,Tilia cordata,9,Semi-mature,Fair
487,Birch-Paper,Betula papyrifera,9,Semi-mature,Fair
490,Dogwood-Kousa,Cornus kousa,4,Semi-mature,Fair
491,Hornbeam-American,Ostrya virginiana,4,Semi-mature,Fair
492,Linden-Littleleaf,Tilia cordata,18,Semi-mature,Fair
493,Linden-Littleleaf,Tilia cordata,17,Semi-mature,Fair
494,Linden-Littleleaf,Tilia cordata,17,Semi-mature,Fair
495,Maple-Sugar,Acer saccharum,9,Semi-mature,Fair
496,Maple-Norway,Acer platanoides,13,Semi-mature,Poor
497,Crabapple,Malus sp,5,Mature,Fair
498,Maple-Norway,Acer platanoides,11,Mature,Fair
